method,RMSE,NDCG,F1,MAE
itemKNN,0.9335847175071229,0.8966247083744993,0.7522935779816514,0.7325245908483847
BIAS,0.9254411718268337,0.9204411461592866,0.7314285714285714,0.7459142874568474
userKNN,0.9496021972330607,0.8920137320608658,0.7230769230769231,0.7743702107844663
SVD,0.9240445449172114,0.9227069812911253,0.7265774378585086,0.7437508346881108
BIASEDMF,0.9241525722885918,0.916277426563369,0.7380497131931166,0.7379689852353043
BayesianRidge,0.9215128230995854,0.9243246501340866,0.7559633027522936,0.737679431244154
Tweedie,0.9223903848936541,0.9182015239066921,0.7523629489603024,0.7410145500684014
Ridge,0.92408721390234,0.9215289953316628,0.7550644567219152,0.7396995300660827
RandomForest,0.920585010137269,0.9166068075242172,0.7570422535211268,0.7471984313082021
Bagging,0.94562152636632,0.8944688739816908,0.7302752293577982,0.7699588477366256
AdaBoost,0.9252329307898036,0.9160154569214961,0.7549194991055456,0.755623981918417
GradientBoosting,0.9309018977365336,0.9040947182559762,0.7517985611510791,0.755509159653236
LinearSVR,0.9288138863408757,0.92338224315819,0.7612208258527827,0.74127957741328
