method,window,RMSE_Male,RMSE_Female,RMSE_AbsDiff,MAE_Male,MAE_Female,MAE_AbsDiff,NDCG_Male,NDCG_Female,NDCG_AbsDiff,F1_Male,F1_Female,F1_AbsDiff
itemKNN,11,0.93615525205281,0.9002915829801806,0.03586366907262939,0.7289303178227098,0.7208645559800877,0.008065761842622088,0.8702568997866352,0.88499338693204,0.014736487145404764,0.7469026548672566,0.7360730593607306,0.010829595506525957
BIAS,11,0.9249748126781192,0.880553638252822,0.04442117442529725,0.7290479378976957,0.7089571538459614,0.020090784051734367,0.8809451062497423,0.8748280664806406,0.0061170397691017175,0.7523510971786834,0.7274436090225563,0.02490748815612709
userKNN,11,0.972378777485206,0.91446905178615,0.05790972569905595,0.7625367829836284,0.7151528590109691,0.047383923972659225,0.8658973423243557,0.8731446089527444,0.007247266628388704,0.7320656871218669,0.7371273712737128,0.005061684151845824
SVD,11,0.927783818614244,0.8854090801413017,0.042374738472942264,0.7300709564671352,0.7113184533555522,0.01875250311158294,0.877621982679243,0.8702055470551318,0.007416435624111206,0.7545494895694629,0.7291666666666666,0.025382822902796254
BIASEDMF,11,0.9284992114237448,0.9056117468694612,0.022887464554283588,0.731317754455748,0.7293096686681554,0.002008085787592595,0.8765888094743582,0.8736213099357258,0.002967499538632401,0.7494437027147307,0.7065527065527065,0.042890996162024186
BayesianRidge,11,0.9208513462930183,0.8823479370640303,0.038503409228988095,0.7257399553301601,0.7114453938666361,0.014294561463524036,0.8763650803075288,0.8757485331198179,0.0006165471877108697,0.7562414888788016,0.7303689687795648,0.025872520099236795
Tweedie,11,0.931124120643148,0.8898412400946953,0.04128288054845264,0.7384516779399563,0.716899917769598,0.021551760170358203,0.8790653213507047,0.8751532658909921,0.003912055459712627,0.7395195478097033,0.7101879327398615,0.029331615069841832
Ridge,11,0.920947777055713,0.8826360328471979,0.03831174420851502,0.7256634120924113,0.7117728980134328,0.013890514078978455,0.8759263563538627,0.8777488136542886,0.0018224573004258504,0.7553336359509759,0.7322611163670766,0.02307251958389933
RandomForest,11,0.9194541428205714,0.8810588877629888,0.03839525505758257,0.7266563914014486,0.7094249919170846,0.01723139948436392,0.8779853047870614,0.8756097000419382,0.0023756047451232165,0.7556357078449053,0.7308781869688386,0.024757520876066752
Bagging,11,0.9363685032883342,0.9038849097601622,0.03248359352817198,0.7393151775760471,0.7261043036697102,0.013210873906336906,0.8732602533249836,0.8727885649380909,0.0004716883868927102,0.7477148080438757,0.7017873941674506,0.04592741387642507
AdaBoost,11,0.9236479382324226,0.8873650961189014,0.036282842113521285,0.7352761449951646,0.7176225938971128,0.01765355109805178,0.8777737554185068,0.8835596564015503,0.005785900983043546,0.7454212454212454,0.7135969141755063,0.031824331245739135
GradientBoosting,11,0.9327891137488432,0.8841961873596564,0.048592926389186775,0.7398805152350968,0.714488176356874,0.025392338878222787,0.8724201366102254,0.8739625066003043,0.0015423699900788401,0.7520435967302452,0.7186311787072244,0.03341241802302086
LinearSVR,11,0.9196207223739704,0.8771718296927522,0.04244889268121821,0.7207753263468484,0.70399634520921,0.016778981137638427,0.8768890306687955,0.8750900035540816,0.0017990271147139136,0.7649647887323944,0.7433302667893285,0.02163452194306592
