analysis_type,group,algorithm,RMSE,NDCG,F1,MAE
fairness_gender,female,AdaBoost,1.1037384907425452,0.7983866917663882,0.5633060732940326,0.877244752317133
fairness_gender,female,BIASEDMF,0.9451441520272071,0.8739845547004172,0.7053500952287759,0.742663869683625
fairness_gender,female,Bagging,1.1204681010465816,0.8001006936590069,0.5675630808511851,0.8890561442271866
fairness_gender,female,BayesianRidge,1.1060987049281168,0.7991899177618437,0.5642892546924305,0.8778432921220136
fairness_gender,female,GradientBoosting,1.1057889000408192,0.7988321404137122,0.5733467405009127,0.8767409746761031
fairness_gender,female,LinearSVR,1.1181128323686136,0.7990324407953133,0.5816396194227016,0.8839680540781489
fairness_gender,female,NMF,0.9943160650007961,0.8618521343114856,0.6801448737153788,0.7821721607015367
fairness_gender,female,RandomForest,1.1063486665802438,0.7983179498596519,0.5727773078759131,0.8773112513043777
fairness_gender,female,Ridge,1.1062571484510157,0.7992437607655657,0.564075065925263,0.8779708791830556
fairness_gender,female,SVD,0.9416164225894427,0.8770368127108157,0.7068661316165674,0.7396769371654685
fairness_gender,female,StochasticItemKNN,1.0742470651821734,0.8276330275307874,0.6633033004102685,0.8429996474231918
fairness_gender,female,Tweedie,1.1028304299825935,0.798959728576094,0.5460004321632993,0.8776889664834949
fairness_gender,male,AdaBoost,1.0755111391345833,0.8006554530921133,0.6160390550448324,0.8571164618464792
fairness_gender,male,BIASEDMF,0.9171613418053287,0.894090003320791,0.7286279895736664,0.7226766891407127
fairness_gender,male,Bagging,1.0877863214278578,0.7998737025982033,0.6187071169254812,0.8654788604316256
fairness_gender,male,BayesianRidge,1.0789304183245245,0.800722318143108,0.6187884937823764,0.8583934884470685
fairness_gender,male,GradientBoosting,1.0752994812520997,0.8006441470025295,0.6262097721894906,0.8547207416007889
fairness_gender,male,LinearSVR,1.0879585024834315,0.8005226709756639,0.6334714450939231,0.8614247050254156
fairness_gender,male,NMF,1.0182974216313787,0.8792278464863125,0.6945027942883489,0.7908235672144166
fairness_gender,male,RandomForest,1.0755688991015582,0.8014817323814079,0.6258054904287382,0.8547364242417284
fairness_gender,male,Ridge,1.0792521901694114,0.8006274609160904,0.6188540931192066,0.8586025374389173
fairness_gender,male,SVD,0.9143971125889482,0.8944655974210778,0.7272263320593361,0.722031773427743
fairness_gender,male,StochasticItemKNN,1.0962018177331714,0.8375418709181609,0.6781458729782659,0.8515448448734414
fairness_gender,male,Tweedie,1.0723271263958467,0.8007068902735864,0.6026915598168945,0.8564440357752033
