method,RMSE,NDCG,F1,MAE
itemKNN,0.9007046681371798,0.8711948107381455,0.7203690560681334,0.7018018792479399
BIAS,0.9211056391254402,0.8733584783460819,0.6961843052555795,0.7202578937416991
userKNN,0.9495112260391018,0.8699519380218043,0.7133628017681061,0.7357774325190369
SVD,0.9108734573453551,0.8821308614564937,0.7065609228550829,0.7075919422074333
BIASEDMF,0.9053584426080995,0.8813362741007483,0.7148451406194375,0.7018763245215903
BayesianRidge,0.8915074753116814,0.8775577915143894,0.7014361300075586,0.6985090444927576
Tweedie,0.9040862397062164,0.8782786298238066,0.6787259142744789,0.7111826156314095
Ridge,0.8914840390516637,0.8786448416207254,0.7032136105860114,0.6983585055546346
RandomForest,0.8982546424898187,0.8789916220938131,0.706794682422452,0.7039245664208431
Bagging,0.9183628890884781,0.8755694011775144,0.6949404761904762,0.7198193002691272
AdaBoost,0.9006825315941389,0.8790312776264393,0.6975332068311195,0.7089608713586419
GradientBoosting,0.9027394029646183,0.8809698471183155,0.6989929130921299,0.7088295581746602
LinearSVR,0.8924334882835981,0.8792918448702713,0.7123991195891416,0.6948020912759862
