method,RMSE,NDCG,F1,MAE
itemKNN,0.8589469078574257,0.9005760222020716,0.7515738498789346,0.669624530856174
BIAS,0.887714964776401,0.8924564546239334,0.7391627446123359,0.6918648478272845
userKNN,0.8879064545552788,0.897372361082201,0.7481698389458272,0.6885704263426434
SVD,0.8671017616863071,0.9018358693577007,0.7511690868816145,0.6760493403989118
BIASEDMF,0.8557826111658078,0.9007454930254984,0.750546514452271,0.666802333377556
BayesianRidge,0.8333953066975814,0.9062503037184187,0.7474173553719008,0.6570320859359297
Tweedie,0.8582153967329355,0.9060035680010133,0.7385012919896641,0.6805049083994187
Ridge,0.8333545353880821,0.9066810847908272,0.7472243738703848,0.6569858788877564
RandomForest,0.8638106462468645,0.8918738593921187,0.7328165374677003,0.6833486114855756
Bagging,0.8974440203986311,0.8916997197974782,0.7289202114271331,0.7075492046373686
AdaBoost,0.8690872114141699,0.903902963976179,0.6985040276179517,0.7021887556736117
GradientBoosting,0.8392826007671413,0.9068697119340376,0.7464752627531402,0.6600149743534758
LinearSVR,0.8357853091582358,0.9065215860766221,0.752376188094047,0.6534504435117557
