method,window,RMSE_Male,RMSE_Female,RMSE_AbsDiff,MAE_Male,MAE_Female,MAE_AbsDiff,NDCG_Male,NDCG_Female,NDCG_AbsDiff,F1_Male,F1_Female,F1_AbsDiff
itemKNN,18,0.9688156480118532,1.03424615446916,0.06543050645730675,0.7642078676698482,0.8021637130394358,0.037955845369587626,0.8930036092463973,0.8857599514333976,0.0072436578129997375,0.7233201581027668,0.7063063063063063,0.017013851796460533
BIAS,18,0.9300466346031612,0.9647687736918508,0.034722139088689596,0.7401248671438849,0.7681470172922538,0.02802215014836884,0.9013748708457318,0.9047858555742364,0.0034109847285046513,0.748,0.6850393700787402,0.06296062992125984
userKNN,18,0.9723987630218316,1.0020215208178354,0.029622757796003762,0.7693856328824359,0.7983206510669684,0.02893501818453248,0.8923507948808987,0.889609793073058,0.0027410018078407594,0.7243781094527363,0.7020109689213894,0.02236714053134692
SVD,18,0.9317126115627556,0.9656343522464906,0.03392174068373499,0.7405074584488405,0.7683280377323122,0.027820579283471703,0.9000415615226444,0.903651731434266,0.0036101699116216635,0.7464788732394366,0.688715953307393,0.05776291993204363
BIASEDMF,18,0.942916842435881,0.9817703890419922,0.03885354660611118,0.7501117517137093,0.786127303219059,0.03601555150534974,0.8942881623995491,0.8985547368481093,0.0042665744485601564,0.7223340040241448,0.6912621359223301,0.031071868101814726
BayesianRidge,18,0.9310646929089494,0.9667137871441326,0.03564909423518314,0.7407272921062732,0.7665676805925304,0.02584038848625725,0.9010789714776932,0.90953092259273,0.008451951115036827,0.7420634920634921,0.6897880539499036,0.05227543811358848
Tweedie,18,0.9344422489878276,0.968386180266746,0.03394393127891848,0.7450644359545515,0.7712102039436056,0.026145767989054103,0.9038804915711304,0.8945813035719794,0.00929918799915097,0.7252066115702479,0.6878727634194831,0.03733384815076479
Ridge,18,0.9314921830833784,0.9672262545995632,0.035734071516184795,0.7408798296147218,0.7667123891522352,0.0258325595375134,0.9044128110128558,0.9097482054499292,0.005335394437073426,0.7420634920634921,0.686046511627907,0.05601698043558512
RandomForest,18,0.9274131493171008,0.973093532050028,0.04568038273292718,0.7426875406233956,0.7805972125993376,0.03790967197594197,0.9022984028586128,0.8994842099559169,0.002814192902695911,0.7425742574257426,0.696798493408663,0.04577576401707961
Bagging,18,0.9463685100411452,0.9956750302095702,0.04930652016842496,0.7614002654531665,0.7994406272022552,0.03804036174908865,0.8902280191446426,0.8973669283119705,0.007138909167327956,0.7196738022426096,0.6807692307692308,0.03890457147337878
AdaBoost,18,0.9261770211711344,0.9801544284956832,0.05397740732454881,0.748246810554589,0.7907477959250815,0.04250098537049252,0.9062553763872776,0.8972856946384214,0.008969681748856151,0.7379784102060843,0.7093235831809872,0.02865482702509714
GradientBoosting,18,0.953476322397746,0.9809447464725088,0.0274684240747628,0.7650406027222988,0.7858519183284625,0.02081131560616367,0.8961190450798556,0.9085325165084293,0.01241347142857363,0.729103726082578,0.685823754789272,0.04327997129330596
LinearSVR,18,0.936671993448552,0.9683967230263756,0.031724729577823574,0.7391101472450428,0.763506996883293,0.024396849638250284,0.9025714579251132,0.9154544623467882,0.012883004421675004,0.7512007684918348,0.7113594040968343,0.03984136439500052
