method,RMSE,NDCG,F1,MAE
itemKNN,0.9178609206079441,0.9053710137342457,0.7502377179080824,0.7098845012805676
BIAS,0.890591072558315,0.896399841997681,0.7584349754474893,0.7046483303589721
userKNN,0.9454758359548733,0.8972330155962989,0.7489069331667708,0.7360292077214509
SVD,0.8841556948598723,0.903354203394969,0.7586316122901489,0.6976604017602057
BIASEDMF,0.8796901931812844,0.908591697909915,0.7664783427495292,0.6908313434784845
BayesianRidge,0.8872186030387048,0.9086721244782087,0.7396941489361702,0.698763502960695
Tweedie,0.8916890479451451,0.9083807349363425,0.7213114754098361,0.7047925905671812
Ridge,0.8873003153904395,0.909021254467044,0.7397806580259222,0.6987720878266422
RandomForest,0.8827702030985027,0.9098591424607946,0.7420680585237547,0.6994392626211253
Bagging,0.9000914545368491,0.9028252467876532,0.735864699054883,0.7124718776602214
AdaBoost,0.8911169251704619,0.9087700975123874,0.7324274450595538,0.7096665868151838
GradientBoosting,0.8901741492651255,0.9068407352149941,0.7346326836581709,0.7075221037487952
LinearSVR,0.889032711891832,0.9098414457022921,0.7506100536847242,0.6952860610931595
