method,window,RMSE_Male,RMSE_Female,RMSE_AbsDiff,MAE_Male,MAE_Female,MAE_AbsDiff,NDCG_Male,NDCG_Female,NDCG_AbsDiff,F1_Male,F1_Female,F1_AbsDiff
itemKNN,10,0.9429915723269642,0.9288467938679664,0.014144778458997753,0.7389403846631584,0.7242585160374728,0.014681868625685546,0.8676592153116475,0.8822982793819988,0.014639064070351315,0.7134986225895317,0.725557461406518,0.012058838816986328
BIAS,10,0.9159908617827212,0.9174410002132962,0.0014501384305750653,0.7259503060556104,0.7153098110409165,0.010640495014693885,0.8669562713415548,0.8743211446555177,0.00736487331396285,0.7110491460439178,0.7192374350086655,0.00818828896474777
userKNN,10,0.9415510478031448,0.9704410229484148,0.02888997514527003,0.7365406385520562,0.7610549349239463,0.024514296371890065,0.8603569346752084,0.8775427012452129,0.01718576657000459,0.7111111111111111,0.7122835943940643,0.0011724832829531628
SVD,10,0.9157723408614185,0.9204996585008748,0.00472731763945633,0.7246155318663992,0.7166507857237611,0.00796474614263809,0.8689876346526512,0.8753725614742984,0.006384926821647263,0.7121001390820584,0.7192374350086655,0.007137295926607168
BIASEDMF,10,0.9214731519948386,0.9241732477079254,0.0027000957130868253,0.7277740832817391,0.7234241008351353,0.004349982446603784,0.8700408943137182,0.87507836040493,0.005037466091211806,0.708113804004215,0.7164179104477612,0.008304106443546178
BayesianRidge,10,0.9193771978853316,0.9154875289962056,0.003889668889126008,0.7277249778031947,0.7136373834126738,0.014087594390520874,0.8685430176301591,0.8762647967716358,0.007721779141476759,0.7148846960167715,0.7301310043668122,0.015246308350040705
Tweedie,10,0.921028569749709,0.9193303347815004,0.001698234968208645,0.732198307227302,0.7202490287716764,0.011949278455625545,0.8688186590548079,0.8789311041205062,0.010112445065698306,0.7029379760609358,0.7208480565371025,0.017910080476166712
Ridge,10,0.9196600834165132,0.9156479636384162,0.004012119778097012,0.727902937625015,0.7136929459426475,0.014209991682367473,0.8687754009371753,0.8762197748471877,0.007444373910012403,0.7132867132867133,0.7290209790209791,0.01573426573426573
RandomForest,10,0.914929782153212,0.9141246913967358,0.0008050907564761678,0.7257470758133462,0.7136203884290026,0.012126687384343637,0.8700752519034072,0.8827284350293727,0.012653183125965528,0.7204374572795625,0.7337278106508875,0.013290353371325003
Bagging,10,0.9378594971129972,0.9364103969227944,0.0014491001902028344,0.7424154318860556,0.733080385595921,0.009335046290134597,0.8562872534923216,0.8728606409501094,0.016573387457787803,0.7063247863247863,0.7134199134199134,0.007095127095127052
AdaBoost,10,0.9167526296677486,0.9144649673195714,0.002287662348177233,0.7317983803218773,0.7186940441384432,0.013104336183434095,0.8673678886731001,0.8842328021143366,0.01686491344123653,0.7168234064785789,0.7346585998271391,0.017835193348560208
GradientBoosting,10,0.929514273530389,0.9237981087773702,0.0057161647530187265,0.7353667753436337,0.7214257031689637,0.01394107217467,0.861262877835041,0.8828529652952587,0.021590087460217733,0.7173396674584323,0.7372013651877133,0.019861697729281036
LinearSVR,10,0.9216532225454408,0.9224565737424198,0.0008033511969790519,0.7259242611727064,0.7161119537497274,0.009812307422979005,0.8686205069159181,0.8753999805768893,0.0067794736609712025,0.71875,0.7286559594251902,0.009905959425190236
