method,RMSE,NDCG,F1,MAE
itemKNN,1.1129701952630955,0.87169692559541,0.622792937399679,0.8865649806958984
BIAS,1.0774480487869025,0.8826770138510039,0.6151260504201681,0.8568392179524715
userKNN,1.1220486295242764,0.8642608540225606,0.6089850249584027,0.8956248228111053
SVD,1.0771338984828724,0.8760109183264707,0.6254180602006689,0.8552217936095565
BIASEDMF,1.0744605641707055,0.8725029058606588,0.6143572621035058,0.851542013096234
BayesianRidge,1.071887511834551,0.8792592279951675,0.6235489220563848,0.8523835828027457
Tweedie,1.072477101655625,0.8782616864547899,0.622673434856176,0.8566333116958055
Ridge,1.0723913808881647,0.8783794227116426,0.6247933884297521,0.8530652515704239
RandomForest,1.0706408536509044,0.8778340942891469,0.6307448494453248,0.8449713905091323
Bagging,1.0949601957060544,0.8677779029243835,0.6151260504201681,0.8666283231083844
AdaBoost,1.06969341815523,0.8758786158489119,0.6342229199372057,0.8486680333270445
GradientBoosting,1.0851901688218766,0.8702992229325455,0.622792937399679,0.8650586697763679
LinearSVR,1.0802065962985148,0.8802425118369153,0.6324237560192616,0.8540334834345192
