method,RMSE,NDCG,F1,MAE
itemKNN,0.8903257987566016,0.9068406450664469,0.7480577136514983,0.6947447378051208
BIAS,0.9150405681677751,0.8932692412253488,0.731916983912563,0.7211403307489266
userKNN,0.9409089116217242,0.8986149709147093,0.743893928820656,0.7368687365978451
SVD,0.9010029697309695,0.9044234701914136,0.7398801516448575,0.7080481425452001
BIASEDMF,0.8918131904839007,0.9031663718398706,0.7501820830298617,0.698155780437046
BayesianRidge,0.8764293233906858,0.9075612465579336,0.7420675537359263,0.6896733559204808
Tweedie,0.8863332629273766,0.909091001140176,0.7226957911561002,0.6996219153770991
Ridge,0.8764498353268677,0.9074242630319751,0.7420675537359263,0.6896754765114218
RandomForest,0.882795364714312,0.9060211225737418,0.7348837209302326,0.6971918569080847
Bagging,0.8985820416921894,0.9005415205504782,0.7251446945337621,0.7098257635946327
AdaBoost,0.8827859454958874,0.9039981422340483,0.7156455288912723,0.7047980380812976
GradientBoosting,0.8861034505915095,0.9045386376915256,0.7350096711798839,0.6993524218152106
LinearSVR,0.8776214040462866,0.907952031968599,0.7485570890840653,0.6866343380089175
