method,RMSE,NDCG,F1,MAE
itemKNN,0.9238257252114068,0.9062872371721813,0.7137989778534923,0.7188580089578279
BIAS,0.8754387234350693,0.9092168174122811,0.7131914893617022,0.695138004742082
userKNN,0.9477910917539409,0.8943076138343614,0.694017094017094,0.7509316162220276
SVD,0.8771055616076109,0.9050454281266062,0.7114893617021276,0.697478461869554
BIASEDMF,0.8929004001974837,0.9032223683570539,0.7042735042735043,0.708818419784939
BayesianRidge,0.875402054387628,0.9082301121999445,0.7079037800687286,0.6949942401300654
Tweedie,0.8762292469078414,0.9077076813180968,0.698943661971831,0.6998607522100841
Ridge,0.8754820097895981,0.9095260864489795,0.7079037800687286,0.6948202153446332
RandomForest,0.8835626726476256,0.9085572764976027,0.7329498767460969,0.6988003191355231
Bagging,0.905727669403179,0.8956160115124693,0.7046808510638298,0.7209222769567597
AdaBoost,0.8843929294071727,0.9084450602228838,0.7320692497938994,0.7046465815895829
GradientBoosting,0.8885455826814552,0.9057669912093025,0.7213389121338912,0.7076877611723833
LinearSVR,0.8734183602592449,0.9080712516002413,0.7172643869891576,0.6894953386849173
