method,RMSE,NDCG,F1,MAE
itemKNN,0.978802360170579,0.8456424362529138,0.7414104882459313,0.7801954571594748
BIAS,0.9351281535775399,0.8531911097593178,0.7400555041628122,0.745455264633154
userKNN,0.9681659380911969,0.8439054116878707,0.7573858549686661,0.7523329822936022
SVD,0.9368981921483096,0.8506784304120282,0.7368421052631579,0.746936734422395
BIASEDMF,0.9597451976313703,0.8424938589111264,0.724233983286908,0.7644091238421407
BayesianRidge,0.9449451841493426,0.8483393989121736,0.7046332046332047,0.7572577443412315
Tweedie,0.9531683656823444,0.8481259012152741,0.6957383548067394,0.7645499492384868
Ridge,0.9451468196981355,0.8483083360712633,0.7052023121387283,0.7574481997496039
RandomForest,0.9446236586420491,0.8503402169802797,0.7076923076923077,0.7574271538623989
Bagging,0.9625104429875705,0.846078178995555,0.7133396404919584,0.7706908019764349
AdaBoost,0.9492294659226609,0.851793303719607,0.7165876777251184,0.7608700518838971
GradientBoosting,0.945378765940377,0.8443672737708908,0.7092469018112488,0.75922838165727
LinearSVR,0.9460203084781517,0.849661427871446,0.7172675521821632,0.7553074270073935
