method,window,RMSE_Male,RMSE_Female,RMSE_AbsDiff,MAE_Male,MAE_Female,MAE_AbsDiff,NDCG_Male,NDCG_Female,NDCG_AbsDiff,F1_Male,F1_Female,F1_AbsDiff
itemKNN,5,0.9135409182688596,0.8706962208860473,0.04284469738281238,0.7062199376740977,0.6742257128391749,0.03199422483492287,0.91536380749289,0.8905872411526354,0.024776566340254602,0.7552834287971558,0.7207661290322581,0.0345172997648977
BIAS,5,0.9261149458490228,0.8810289810086155,0.04508596484040728,0.7254063901515065,0.6887055972301089,0.03670079292139761,0.8964632872697094,0.8897235725849152,0.006739714684794174,0.7398389946986059,0.6929133858267716,0.04692560887183428
userKNN,5,0.9584762474654468,0.8892340975142542,0.0692421499511926,0.7397788970396105,0.688115735696769,0.051663161342841546,0.9000514390001716,0.8820106876014672,0.018040751398704424,0.7507541478129713,0.7020408163265306,0.04871333148644075
SVD,5,0.9139022675045204,0.87359462494052,0.040307642564000434,0.7150125554128114,0.6784713774187934,0.036541177994018015,0.9042673282508412,0.8903187801553896,0.013948548095451652,0.7442409923213231,0.6980146290491118,0.0462263632722113
BIASEDMF,5,0.9116543045664294,0.8732116233700461,0.03844268119638328,0.7109843516234566,0.6719990957135695,0.03898525590988711,0.9123215583154118,0.8922815631748474,0.020039995140564426,0.7505854800936768,0.7147941026944585,0.03579137739921823
BayesianRidge,5,0.8952065869434989,0.8670882189704355,0.02811836797306333,0.7040361705518202,0.6731462759880409,0.03088989456377933,0.9144922329788528,0.8903635822094702,0.024128650769382642,0.7425968109339408,0.6978226234731811,0.044774187460759673
Tweedie,5,0.9012584697071712,0.869812065198888,0.03144640450828318,0.7067240542532797,0.6814024813193542,0.02532157293392545,0.9139455266593756,0.8935906596195534,0.020354867039822144,0.7294017457951885,0.6805165637282425,0.04888518206694592
Ridge,5,0.8952069251849006,0.867177654037256,0.02802927114764464,0.7040338668304222,0.6731293358208832,0.03090453100953905,0.9140641421223864,0.8902756023478887,0.023788539774497686,0.7431648715824358,0.6985138004246284,0.04465107115780742
RandomForest,5,0.8982858182203806,0.8706083877650092,0.02767743045537141,0.707241724814784,0.676747484441189,0.03049424037359494,0.9136000518654616,0.8952450486666955,0.01835500319876604,0.7459898477157361,0.6970338983050848,0.04895594941065129
Bagging,5,0.9113200749668452,0.8830117346982569,0.028308340268588306,0.7185843598357596,0.6825590463458111,0.03602531348994853,0.8981807155245841,0.8769248024312433,0.02125591309334085,0.7381049206994713,0.6969857218402962,0.04111919885917514
AdaBoost,5,0.90259245875909,0.8739732384484269,0.028619220310663107,0.7162265235937184,0.6832931509823245,0.03293337261139395,0.9105387242732974,0.8933316213011119,0.01720710297218553,0.7277375372816361,0.6891133557800224,0.03862418150161373
GradientBoosting,5,0.9025149044637673,0.8727757033041742,0.029739201159593054,0.7148269490053416,0.6792866463767182,0.0355403026286234,0.9080134519868523,0.8876702309777433,0.020343221009109014,0.7442903752039152,0.698782424563261,0.04550795064065416
LinearSVR,5,0.898018547028635,0.86820536952448,0.02981317750415502,0.7007221272967987,0.6694914855590054,0.03123064173779333,0.9147623896103256,0.8908213657182438,0.02394102389208186,0.7469536961819658,0.706436420722135,0.04051727545983086
