method,window,RMSE_Male,RMSE_Female,RMSE_AbsDiff,MAE_Male,MAE_Female,MAE_AbsDiff,NDCG_Male,NDCG_Female,NDCG_AbsDiff,F1_Male,F1_Female,F1_AbsDiff
itemKNN,8,0.8647023280810986,0.8972834624484177,0.03258113436731913,0.671137728850848,0.7055646561180328,0.03442692726718477,0.9016799839091636,0.8713649217059403,0.03031506220322333,0.7663117134559535,0.7318747318747318,0.03443698158122166
BIAS,8,0.8618640826746818,0.92602893558104,0.0641648529063582,0.6788274973122772,0.7230753689294159,0.04424787161713872,0.8973869328700933,0.8741788762774284,0.023208056592664894,0.7538551629904353,0.7180805484147387,0.03577461457569664
userKNN,8,0.8974801066187101,0.974266900322322,0.07678679370361186,0.7033461194245255,0.7436181848205016,0.04027206539597605,0.8993595606990776,0.8672003275995699,0.032159233099507745,0.7494712555277832,0.7341269841269841,0.015344271400799081
SVD,8,0.8594286601067167,0.9188376455889246,0.059408985482207854,0.6755492186239678,0.7179792795432556,0.042430060919287804,0.9012624607073874,0.8804647637415631,0.02079769696582423,0.7503432045499118,0.7247863247863248,0.025556879763587004
BIASEDMF,8,0.849870882432737,0.9117367748074676,0.06186589237473061,0.6681826020794298,0.7130047048934606,0.04482210281403076,0.903972687197186,0.8791529472007904,0.02481973999639564,0.765139751552795,0.7285896889646357,0.03655006258815929
BayesianRidge,8,0.8471441207134723,0.8955768640039881,0.04843274329051572,0.6671965146259107,0.7059721085843885,0.03877559395847785,0.9065255007130868,0.8806148795348095,0.02591062117827725,0.7556,0.7245744216499346,0.031025578350065475
Tweedie,8,0.8549465754933189,0.9045231218837372,0.04957654639041831,0.6769803653123059,0.7110596383162432,0.034079273003937316,0.905038476364554,0.8830909338999104,0.021947542464643588,0.7389872375463153,0.709502262443439,0.0294849751028764
Ridge,8,0.8471434839855978,0.8952163568030345,0.04807287281743666,0.6671377129728387,0.7058399527253901,0.03870223975255138,0.9065448942688864,0.8807861243999658,0.02575876986892056,0.7552531518911347,0.7240174672489083,0.03123568464222648
RandomForest,8,0.8490090626127786,0.9033765380431904,0.05436747543041176,0.6746589990974,0.7130154845916133,0.03835648549421333,0.9031083288291278,0.8838515203868513,0.019256808442276507,0.7606531262445241,0.7250544662309368,0.03559866001358725
Bagging,8,0.8636494756122026,0.9199943271456054,0.05634485153340274,0.6847986506430529,0.730204788526981,0.04540613788392811,0.9018983623032244,0.8802950390450116,0.021603323258212792,0.751792828685259,0.7152145643693107,0.03657826431594824
AdaBoost,8,0.8516425591220557,0.9043708249896006,0.05272826586754498,0.682209006448438,0.7210418681652188,0.0388328617167808,0.9050794847934384,0.8832104208288083,0.021869063964630064,0.7526487367563163,0.7117726657645467,0.0408760709917696
GradientBoosting,8,0.8542328555168615,0.9061741966509296,0.05194134113406812,0.6790608288983297,0.7185595735570053,0.03949874465867553,0.9032355218811716,0.8815544362075454,0.021681085673626255,0.7628537265842965,0.7222222222222222,0.0406315043620743
LinearSVR,8,0.847513940840709,0.8983955116922596,0.05088157085155065,0.6642547342209143,0.7045572544693495,0.04030252024843517,0.905523685215496,0.8815285119043799,0.023995173311116114,0.7670321064996085,0.7334189131364998,0.03361319336310875
