method,RMSE,NDCG,F1,MAE
itemKNN,0.9367526497668384,0.8917642449090675,0.7202072538860104,0.739157774426555
BIAS,0.8857737632679957,0.9059173215140526,0.7368421052631579,0.7240152956187859
userKNN,0.9303095706064187,0.8800919626813853,0.7525773195876289,0.7609691787744397
SVD,0.8898283693301653,0.9001739556765557,0.7447916666666666,0.7251350573961014
BIASEDMF,0.8812171059532609,0.8980327689391583,0.7362924281984334,0.7132200082373097
BayesianRidge,0.8867217762834736,0.9009092969654937,0.7480519480519481,0.7134898868654084
Tweedie,0.8921662888871108,0.9003394258839946,0.7480106100795756,0.7225839834362058
Ridge,0.885786037854818,0.9061954894120902,0.7519582245430809,0.7137993405967302
RandomForest,0.8791565580764191,0.9057493958400858,0.7611940298507462,0.7142429535584451
Bagging,0.917963960060745,0.8987863129670243,0.7046632124352331,0.7501622533748702
AdaBoost,0.8795630250532079,0.9028153328456381,0.7609756097560976,0.7184758118185408
GradientBoosting,0.9114998436298113,0.8998768737871863,0.7236180904522613,0.7446505929597637
LinearSVR,0.8983458082529238,0.9060454450312162,0.7570332480818415,0.7199722315913788
