method,RMSE,NDCG,F1,MAE
itemKNN,0.9306401995585839,0.8927624885375873,0.7192429022082019,0.7276276151764581
BIAS,0.8951192187377631,0.8982391563522162,0.7380645161290322,0.7101116413535254
userKNN,0.966428289372947,0.8780820441488348,0.7023581899298916,0.7600174358566295
SVD,0.8976576386258329,0.8969486478842966,0.7362281270252754,0.7112775468151377
BIASEDMF,0.902289506241196,0.8907904973126644,0.7252888318356868,0.7103674275395743
BayesianRidge,0.9072229219706928,0.8963228933391197,0.7234323432343235,0.7159442833286989
Tweedie,0.910707992778779,0.8964388579802167,0.7090663058186739,0.723249531819194
Ridge,0.9073218278809447,0.8960638765859802,0.7225891677675033,0.7160594377234395
RandomForest,0.9032162617228539,0.8902949448137412,0.7370417193426043,0.7080077045600385
Bagging,0.9306420173159871,0.8763338950457169,0.7228295819935692,0.7297697552252153
AdaBoost,0.9060320864259035,0.8949907863606933,0.7363694676074407,0.71398953169068
GradientBoosting,0.9130217463060705,0.8810880299868191,0.7283163265306123,0.7178207182727867
LinearSVR,0.9122279901232085,0.8959947770869154,0.7311411992263056,0.7165949532854926
