method,RMSE,NDCG,F1,MAE
itemKNN,0.93615525205281,0.8702568997866352,0.7469026548672566,0.7289303178227098
BIAS,0.9249748126781193,0.8809451062497423,0.7523510971786834,0.7290479378976957
userKNN,0.9723787774852061,0.8658973423243557,0.7320656871218669,0.7625367829836284
SVD,0.9277838186142441,0.877621982679243,0.7545494895694629,0.7300709564671352
BIASEDMF,0.9284992114237449,0.8765888094743582,0.7494437027147307,0.731317754455748
BayesianRidge,0.9208513462930185,0.8763650803075288,0.7562414888788016,0.7257399553301601
Tweedie,0.9311241206431479,0.8790653213507047,0.7395195478097033,0.7384516779399563
Ridge,0.920947777055713,0.8759263563538627,0.7553336359509759,0.7256634120924113
RandomForest,0.9194541428205714,0.8779853047870614,0.7556357078449053,0.7266563914014486
Bagging,0.9363685032883342,0.8732602533249836,0.7477148080438757,0.7393151775760471
AdaBoost,0.9236479382324226,0.8777737554185068,0.7454212454212454,0.7352761449951646
GradientBoosting,0.9327891137488431,0.8724201366102254,0.7520435967302452,0.7398805152350968
LinearSVR,0.9196207223739704,0.8768890306687955,0.7649647887323944,0.7207753263468484
