method,RMSE,NDCG,F1,MAE
itemKNN,0.8810466826274224,0.8608388472293429,0.7185430463576159,0.689888686118288
BIAS,0.8901648448279771,0.8688270372260202,0.7116022099447514,0.7016334326794434
userKNN,0.9409940917847873,0.8653193813459764,0.7203742203742204,0.7284830536584512
SVD,0.8907135496416934,0.8681767087922483,0.7156267255659856,0.7000572293151085
BIASEDMF,0.889492375769017,0.8612374035336262,0.7114317425083241,0.6992843304154595
BayesianRidge,0.8766265735840467,0.8608175029224452,0.7256637168141593,0.6907473485953575
Tweedie,0.882417988007979,0.8645254088384909,0.7105719237435009,0.6962398949915067
Ridge,0.8764003663713084,0.8627950577130962,0.7246537396121884,0.6906642076690874
RandomForest,0.8784505696862116,0.8637609799715745,0.7291112293773284,0.6930231793962063
Bagging,0.9041740089144125,0.8475264462085306,0.7295528898582334,0.711857948483463
AdaBoost,0.8778789752514752,0.863332270438501,0.7283298097251586,0.6955978016056051
GradientBoosting,0.8856492335797903,0.8548698197717309,0.732019179541822,0.698150710866894
LinearSVR,0.888797161436753,0.8615803160899299,0.7315257841573631,0.6946140915282466
