method,RMSE,NDCG,F1,MAE
itemKNN,1.03424615446916,0.8857599514333976,0.7063063063063063,0.8021637130394358
BIAS,0.9647687736918508,0.9047858555742364,0.6850393700787402,0.7681470172922538
userKNN,1.0020215208178354,0.889609793073058,0.7020109689213894,0.7983206510669684
SVD,0.9656343522464906,0.903651731434266,0.688715953307393,0.7683280377323122
BIASEDMF,0.9817703890419922,0.8985547368481093,0.6912621359223301,0.786127303219059
BayesianRidge,0.9667137871441326,0.90953092259273,0.6897880539499036,0.7665676805925304
Tweedie,0.968386180266746,0.8945813035719794,0.6878727634194831,0.7712102039436056
Ridge,0.9672262545995632,0.9097482054499293,0.686046511627907,0.7667123891522352
RandomForest,0.9730935320500281,0.8994842099559169,0.696798493408663,0.7805972125993376
Bagging,0.9956750302095702,0.8973669283119705,0.6807692307692308,0.7994406272022552
AdaBoost,0.9801544284956832,0.8972856946384214,0.7093235831809872,0.7907477959250815
GradientBoosting,0.9809447464725088,0.9085325165084291,0.685823754789272,0.7858519183284625
LinearSVR,0.9683967230263757,0.9154544623467882,0.7113594040968343,0.763506996883293
