method,window,RMSE_Male,RMSE_Female,RMSE_AbsDiff,MAE_Male,MAE_Female,MAE_AbsDiff,NDCG_Male,NDCG_Female,NDCG_AbsDiff,F1_Male,F1_Female,F1_AbsDiff
itemKNN,12,0.9022645395179614,0.978802360170579,0.0765378206526176,0.7040701793887264,0.7801954571594748,0.0761252777707484,0.897416078837281,0.8456424362529138,0.05177364258436723,0.7641901245962159,0.7414104882459313,0.022779636350284682
BIAS,12,0.8928431603564653,0.93512815357754,0.04228499322107471,0.7053363163209488,0.745455264633154,0.040118948312205194,0.9039874092784134,0.8531911097593178,0.05079629951909559,0.7573459715639811,0.7400555041628122,0.017290467401168907
userKNN,12,0.9508684087024174,0.9681659380911968,0.017297529388779376,0.7460383322075111,0.7523329822936022,0.0062946500860910914,0.8804367638397909,0.8439054116878707,0.03653135215192016,0.7357609710550888,0.7573858549686661,0.02162488391357731
SVD,12,0.8931986788521765,0.9368981921483096,0.043699513296133086,0.704781456423206,0.746936734422395,0.042155277999189056,0.9025033917236815,0.8506784304120282,0.05182496131165337,0.7545023696682465,0.7368421052631579,0.01766026440508861
BIASEDMF,12,0.8909502969519704,0.9597451976313705,0.06879490067940008,0.700712635396234,0.7644091238421407,0.0636964884459067,0.8991490024247406,0.8424938589111264,0.056655143513614226,0.7547169811320755,0.724233983286908,0.030482997845167503
BayesianRidge,12,0.8870130710148628,0.9449451841493426,0.05793211313447977,0.7021971638837854,0.7572577443412315,0.05506058045744611,0.9032702381944624,0.8483393989121736,0.05493083928228881,0.7445041524181729,0.7046332046332047,0.03987094778496825
Tweedie,12,0.8961278635797011,0.9531683656823444,0.05704050210264333,0.7127710276002968,0.7645499492384868,0.05177892163819009,0.9035121656130476,0.8481259012152741,0.0553862643977735,0.7264437689969605,0.6957383548067394,0.030705414190221103
Ridge,12,0.8870453635904276,0.9451468196981356,0.058101456107708005,0.7022095870840857,0.7574481997496039,0.055238612665518216,0.9031308389198636,0.8483083360712633,0.05482250284860024,0.7432762836185819,0.7052023121387283,0.038073971479853586
RandomForest,12,0.8859168259713683,0.9446236586420492,0.058706832670680886,0.7024979764639944,0.7574271538623989,0.05492917739840453,0.90175283228557,0.8503402169802797,0.05141261530529029,0.7492654260528894,0.7076923076923077,0.04157311836058164
Bagging,12,0.9031786706082012,0.9625104429875704,0.05933177237936915,0.7186312768417574,0.7706908019764349,0.05205952513467749,0.8922724601583911,0.846078178995555,0.04619428116283608,0.7434146341463415,0.7133396404919584,0.030074993654383042
AdaBoost,12,0.887895087479383,0.9492294659226608,0.061334378443277826,0.7052012265881332,0.7608700518838971,0.05566882529576389,0.9051250937218244,0.851793303719607,0.05333179000221733,0.7516973811833172,0.7165876777251184,0.03510970345819875
GradientBoosting,12,0.8942655370445461,0.945378765940377,0.05111322889583081,0.7122407614167497,0.75922838165727,0.04698762024052028,0.8991108289901476,0.8443672737708908,0.05474355521925678,0.7362204724409449,0.7092469018112488,0.026973570629696075
LinearSVR,12,0.885369997598585,0.9460203084781516,0.060650310879566516,0.698778516491555,0.7553074270073935,0.056528910515838526,0.9029541603374954,0.849661427871446,0.053292732466049375,0.7534839019702066,0.7172675521821632,0.036216349788043445
