method,RMSE,NDCG,F1,MAE
itemKNN,0.8956441732953709,0.907045965496852,0.7561602418745276,0.698409101778503
BIAS,0.9218108821731626,0.8994892211089472,0.7431924176320145,0.7269293525770407
userKNN,0.9504338018793269,0.9038691246651179,0.7506538796861377,0.741550189810911
SVD,0.9049159093938212,0.9060051356935432,0.7514259981987391,0.7123277318209761
BIASEDMF,0.8988836419664417,0.9108638188212851,0.7591240875912408,0.7039769979605365
BayesianRidge,0.8819388983691216,0.9110671251066581,0.7500782962730974,0.6936390275091572
Tweedie,0.8908360977271067,0.9139675005600261,0.7376389112578515,0.7028085669527206
Ridge,0.8819489616446006,0.9112287558956123,0.7499608579927979,0.6936362361060772
RandomForest,0.889661502378299,0.9128276229209918,0.750662716357399,0.6997859479662568
Bagging,0.9007839248916056,0.9111544115835709,0.7380653266331658,0.7100055099877245
AdaBoost,0.8922958849632779,0.9107281829831818,0.7285550270624898,0.7054258976885706
GradientBoosting,0.8957948846166869,0.9122767253347384,0.7497267759562841,0.7047118235282014
LinearSVR,0.8835286891432792,0.9109920131785811,0.7556783302639656,0.6916690650202489
