method,RMSE,NDCG,F1,MAE
itemKNN,0.9429915723269642,0.8676592153116475,0.7134986225895317,0.7389403846631584
BIAS,0.9159908617827213,0.8669562713415548,0.7110491460439178,0.7259503060556104
userKNN,0.9415510478031449,0.8603569346752084,0.7111111111111111,0.7365406385520562
SVD,0.9157723408614185,0.8689876346526512,0.7121001390820584,0.7246155318663992
BIASEDMF,0.9214731519948386,0.8700408943137182,0.708113804004215,0.7277740832817391
BayesianRidge,0.9193771978853316,0.8685430176301591,0.7148846960167715,0.7277249778031947
Tweedie,0.921028569749709,0.8688186590548079,0.7029379760609358,0.732198307227302
Ridge,0.9196600834165132,0.8687754009371753,0.7132867132867133,0.727902937625015
RandomForest,0.9149297821532121,0.8700752519034072,0.7204374572795625,0.7257470758133462
Bagging,0.9378594971129972,0.8562872534923216,0.7063247863247863,0.7424154318860556
AdaBoost,0.9167526296677486,0.8673678886731001,0.7168234064785789,0.7317983803218773
GradientBoosting,0.929514273530389,0.861262877835041,0.7173396674584323,0.7353667753436337
LinearSVR,0.9216532225454409,0.8686205069159181,0.71875,0.7259242611727064
