method,RMSE,NDCG,F1,MAE
itemKNN,0.9135409182688595,0.9153638074928901,0.7552834287971558,0.7062199376740977
BIAS,0.9261149458490229,0.8964632872697094,0.7398389946986059,0.7254063901515065
userKNN,0.9584762474654468,0.9000514390001716,0.7507541478129713,0.7397788970396105
SVD,0.9139022675045203,0.9042673282508413,0.7442409923213231,0.7150125554128114
BIASEDMF,0.9116543045664294,0.9123215583154118,0.7505854800936768,0.7109843516234566
BayesianRidge,0.8952065869434989,0.9144922329788527,0.7425968109339408,0.7040361705518202
Tweedie,0.9012584697071712,0.9139455266593756,0.7294017457951885,0.7067240542532797
Ridge,0.8952069251849006,0.9140641421223865,0.7431648715824358,0.7040338668304222
RandomForest,0.8982858182203806,0.9136000518654616,0.7459898477157361,0.707241724814784
Bagging,0.9113200749668451,0.8981807155245841,0.7381049206994713,0.7185843598357596
AdaBoost,0.90259245875909,0.9105387242732974,0.7277375372816361,0.7162265235937184
GradientBoosting,0.9025149044637671,0.9080134519868523,0.7442903752039152,0.7148269490053416
LinearSVR,0.898018547028635,0.9147623896103255,0.7469536961819658,0.7007221272967987
