method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
SVD,mae,georisk,0.8202429572175413,0.1284616547808573,0.7722656685380609,0.6459755700096348,1.1296022308054212,0.7950644728804932,0.8454214415545893,1
BIASEDMF,mae,georisk,0.8195070240212884,0.12902422463542,0.7733810735346363,0.6377101014769768,1.1270259447045818,0.7942182759927461,0.8447957720498307,1
NMF,mae,georisk,0.8042987052133751,0.1302249528348587,0.7620485994899795,0.6230636794235502,1.1125597341784144,0.7787746144577428,0.8298227959690074,1
StochasticItemKNN,mae,georisk,0.7894371515295501,0.1303064870568376,0.7374963587067473,0.6009956351488774,1.102632331898959,0.7638970800664099,0.8149772229926903,1
RandomForest,mae,georisk,0.7752584330685585,0.133571382791656,0.7212465300251194,0.5923283139019875,1.1028121756009512,0.7490784420413938,0.8014384240957231,1
GradientBoosting,mae,georisk,0.7750742592940347,0.1333644223910457,0.7210037702918739,0.5923529704898306,1.1022083846295767,0.7489348325053897,0.8012136860826797,1
AdaBoost,mae,georisk,0.7744942061836162,0.1334900773151099,0.7206752257152729,0.5918798081974824,1.1026228072710318,0.7483301510298547,0.8006582613373777,1
BayesianRidge,mae,georisk,0.7742152054690724,0.1334914263178609,0.7201243989064812,0.5914732062498131,1.1008110653384662,0.7480508859107716,0.8003795250273732,1
Ridge,mae,georisk,0.7741656925030673,0.1334862719146999,0.7200846818881731,0.5914147802253286,1.1006678268661567,0.7480023832077861,0.8003290017983485,1
Tweedie,mae,georisk,0.7737339961201346,0.1335432335528304,0.7197569540825454,0.5896681584409007,1.1010815278167494,0.7475595223437799,0.7999084698964893,1
LinearSVR,mae,georisk,0.7736032265234182,0.1336594535577359,0.7202213087216596,0.5950444280024733,1.1027321883916466,0.747405973626102,0.7998004794207344,1
Bagging,mae,georisk,0.7712341407049511,0.1337051741066315,0.7153038408478654,0.5888679932997591,1.0979630091227004,0.7450279265800513,0.7974403548298509,1
