algorithm,georisk
SVD,0.6616378255238448
BIASEDMF,0.6632116124934175
NMF,0.6551423371117167
StochasticItemKNN,0.6435152061464988
BayesianRidge,0.622678799997649
Tweedie,0.6228611111501255
Ridge,0.6226792509230261
RandomForest,0.6237904224711736
Bagging,0.6243223815352098
AdaBoost,0.6244460061278746
GradientBoosting,0.6229954399621193
LinearSVR,0.6228560065446513
