user,itemKNN,BIAS,userKNN,SVD,BIASEDMF,BayesianRidge,Tweedie,Ridge,RandomForest,Bagging,AdaBoost,GradientBoosting,LinearSVR
36,0.928185508930772,0.928185508930772,0.928185508930772,0.928185508930772,0.9232070812296456,0.928185508930772,0.928185508930772,0.928185508930772,0.9546901008468324,0.964092754465386,0.928185508930772,0.964092754465386,0.928185508930772
146,0.8110611187083766,0.80608269100725,0.8029355106440134,0.7751538731737626,0.9012545936293016,0.80608269100725,0.80608269100725,0.8338643284775008,0.80608269100725,0.8791742276306684,0.80608269100725,0.8697715740121148,0.80608269100725
184,0.9660839794726382,1.0,0.9660839794726382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
195,0.9921181676913065,0.8563885250903946,0.8594412871325408,0.8960475903221361,0.9272872480274654,0.9651700050348055,0.9651700050348055,0.8772688844736655,0.9382218423783052,0.8233536987551329,0.9651700050348055,0.9382218423783052,0.913337612445542
343,0.8860227901408412,0.8891310830329214,0.8828756097776045,0.841989936541864,0.8438211838797539,0.8797284294143678,0.8797284294143678,0.9156356749489818,0.8697715740121148,0.8828756097776045,0.8797284294143678,0.8797284294143678,0.9156356749489818
349,1.0,1.0,1.0,1.0,0.9671987306219144,1.0,1.0,1.0,1.0,0.9634829125393232,1.0,0.9671987306219144,1.0
411,0.9441390272147964,0.9584399156673707,0.9647556502063696,0.9647556502063696,1.0,0.9504547617537948,0.9607630732495814,0.9152104119601644,0.9607630732495814,0.9544473387105828,0.9647556502063696,0.9504547617537948,0.9504547617537948
422,0.8824086793035105,0.8978803737831526,0.764817358607021,0.8941645557005613,0.8824086793035105,0.8941645557005613,0.8941645557005613,0.8941645557005613,0.8941645557005613,0.8941645557005613,0.8941645557005613,0.8941645557005613,0.8941645557005613
424,0.8982519384179151,0.9059269434428084,0.8982519384179151,0.9321679589452766,0.9029542889767356,0.9029542889767356,0.9059269434428084,0.9029542889767356,0.8767132734742671,0.9445453145289904,0.9023777236124864,0.9572027470530944,0.9017480615820848
518,0.9824717383170832,0.9824717383170832,0.9856189186803198,0.9774933106159566,0.9824717383170832,0.9824717383170832,0.9824717383170832,0.9824717383170832,0.9824717383170832,0.9824717383170832,0.9840453284987014,0.9553567306217264,0.9774933106159566
549,1.0,0.8703036737515616,0.9830188919651686,0.8872847817863929,1.0,1.0,0.9830188919651686,1.0,0.9830188919651686,0.9351518368757809,0.8872847817863929,0.8872847817863929,1.0
624,0.7384864798306076,0.6161688975939004,0.7257755772553667,0.6613581908811529,0.7267266857627126,0.6344100282246522,0.6644109529232991,0.6161688975939004,0.6644109529232991,0.6601194578744705,0.6644109529232991,0.6352352279417074,0.6344100282246522
648,0.990247148342311,1.0,1.0,1.0,0.9627554035975248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
752,0.939808430061906,0.960980146057578,0.9425043781407596,0.960980146057578,0.9471376325780616,0.9471376325780616,0.9471376325780616,0.960980146057578,0.9471376325780616,0.9471376325780616,0.960980146057578,0.939808430061906,0.9471376325780616
911,0.8045934067717663,0.8100119098188597,0.7997780949798154,0.8100119098188597,0.7997780949798154,0.7797744741618676,0.7797744741618676,0.7797744741618676,0.7797744741618676,0.7641221562757298,0.7797744741618676,0.8045934067717663,0.8100119098188597
937,0.990247148342311,0.9627554035975248,0.947838704708262,0.9627554035975248,0.9627554035975248,0.990247148342311,0.990247148342311,0.990247148342311,0.990247148342311,0.990247148342311,0.990247148342311,0.990247148342311,0.990247148342311
1019,0.8090930345053639,0.8986659802469643,0.8795511153053945,0.8920488162790383,0.8795511153053945,0.8795511153053945,0.8795511153053945,0.8795511153053945,0.8090930345053639,0.8090930345053639,0.8090930345053639,0.8090930345053639,0.8795511153053945
1088,0.7757459029651638,0.792001412106444,0.7348106436089867,0.792001412106444,0.792001412106444,0.7757459029651638,0.7757459029651638,0.7757459029651638,0.7757459029651638,0.8599725595443324,0.792001412106444,0.8496964197196489,0.8334409105783687
1101,0.9738316339603252,0.9796200160791764,0.9832792200754978,0.9738316339603252,0.9832792200754978,0.9738316339603252,0.9738316339603252,0.9796200160791764,0.9738316339603252,0.9767258250197508,0.9796200160791764,0.9738316339603252,0.9796200160791764
1113,0.7495277420282012,0.7787414119967424,0.8203324375489972,0.7787414119967424,0.7690566339387112,0.7495277420282012,0.7448253914693808,0.7495277420282012,0.7787414119967424,0.838094902388085,0.7787414119967424,0.8619234631012522,0.752500396494274
1165,0.8142082990716133,0.7985112847265863,0.7801323008748892,0.7707296472563355,0.7738768276195722,0.8029355106440134,0.747372235703512,0.8029355106440134,0.7738768276195722,0.724078763349833,0.7738768276195722,0.7738768276195722,0.7801323008748892
1202,0.9414729650137958,0.952273258626341,0.952273258626341,0.9456560946584148,0.9875022990263562,0.9456560946584148,0.9456560946584148,0.952273258626341,0.9456560946584148,0.9414729650137958,0.9456560946584148,0.9456560946584148,0.9456560946584148
1203,1.0,1.0,0.9707863300314586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1243,0.957604974340798,0.957604974340798,0.9634829125393236,0.957604974340798,0.946503433816368,0.9634829125393236,0.9634829125393236,0.9634829125393236,0.9634829125393236,0.9634829125393236,0.9634829125393236,0.9671987306219144,0.9634829125393236
1303,0.7058840471905043,0.9303400100696116,0.9112736797218044,0.9399981506027064,0.8772688844736655,0.8433899980158173,0.8972863233288185,0.8503207218171648,0.8154907268519707,0.8436776225151537,0.7997270622345836,0.7854898021533239,0.7836757731178601
1306,0.9597001162113084,0.9597001162113084,0.9470482946403986,0.9541126629043596,0.9597001162113084,0.9597001162113084,0.9597001162113084,0.9597001162113084,0.9597001162113084,0.9541126629043596,0.9597001162113084,0.9597001162113084,0.9597001162113084
1389,0.936870309504097,0.9123589900943762,0.8893707059983711,0.9123589900943762,0.8170797061425339,0.9707863300314586,0.93984296397017,0.9660839794726382,0.9660839794726382,0.7834437625555628,0.9707863300314586,0.775488680590279,0.9707863300314586
1425,0.930961731550626,0.9059269434428084,0.9279890770845532,0.9059269434428084,0.9059269434428084,0.9059269434428084,0.9059269434428084,0.9059269434428084,0.9059269434428084,0.9029542889767356,0.9059269434428084,0.9059269434428084,0.9059269434428084
1451,0.8678320410547231,0.8970457110232644,0.8631296904959027,0.8339160205273616,0.8690382684493738,0.8970457110232644,0.8678320410547231,0.9106292940016288,0.8339160205273616,0.8339160205273616,0.8553146470008143,0.8339160205273616,0.9017480615820848
1500,0.8962762680714067,0.983718387925008,0.8999652152114974,0.983718387925008,0.9701378652640856,0.983718387925008,0.9071557013182604,0.983718387925008,0.9071557013182604,0.9071557013182604,0.9071557013182604,0.9071557013182604,0.9071557013182604
1524,0.9820760655889162,0.9938118443333928,0.9938118443333928,0.9938118443333928,0.9938118443333928,0.9820760655889162,0.9938118443333928,0.9820760655889162,0.9938118443333928,0.9696997542557024,0.9820760655889162,0.9696997542557024,0.9820760655889162
1579,0.9711524961933976,1.0,0.9711524961933976,1.0,0.9409150605364054,1.0,0.9711524961933976,1.0,1.0,0.9306812456973612,1.0,0.9855762480966987,1.0
1597,0.764817358607021,0.8304198973631919,0.819972692711383,0.8304198973631919,0.764817358607021,0.8304198973631919,0.8304198973631919,0.8304198973631919,0.8304198973631919,0.819972692711383,0.8304198973631919,0.764817358607021,0.8304198973631919
1645,0.9950215722988734,0.9950215722988734,0.9950215722988734,0.9950215722988734,0.9856189186803198,0.9950215722988734,0.9950215722988734,0.9950215722988734,0.9950215722988734,0.9856189186803198,0.9950215722988734,0.9856189186803198,0.9950215722988734
1647,0.9185754439920304,0.9779181922858008,0.9462910073996746,0.956333239567898,0.9462910073996746,0.9185754439920304,0.9779181922858008,0.913258378317211,0.9185754439920304,0.9185754439920304,0.9185754439920302,0.9185754439920304,0.9185754439920304
1733,0.9678406788103284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
