method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
SVD,mae,vulnerable_activity,0.7433712134431247,0.0267531682608593,0.7468350577593168,0.6936131400105915,0.7984376658626002,100,0.7381275924639963,0.7486148344222532,1
SVD,mae,vulnerable_activity,0.7433712134431247,0.0267531682608593,0.7468350577593168,0.6936131400105915,0.7984376658626002,100,0.7381275924639963,0.7486148344222532,2
BIASEDMF,mae,vulnerable_activity,0.7456712275673381,0.0360902688295661,0.7553478251980386,0.6771466587936178,0.8090228045725266,100,0.7385975348767431,0.752744920257933,2
NMF,mae,vulnerable_activity,0.8215409424041092,0.1134469688670909,0.8153147468827845,0.7109389258904082,1.1796690610391192,100,0.7993053365061594,0.8437765483020591,3
GradientBoosting,mae,vulnerable_activity,0.8601304195135843,0.0300744825324543,0.8670400357028314,0.7792255400862178,0.9049420328574926,100,0.8542358209372232,0.8660250180899454,4
GradientBoosting,mae,vulnerable_activity,0.8601304195135843,0.0300744825324543,0.8670400357028314,0.7792255400862178,0.9049420328574926,100,0.8542358209372232,0.8660250180899454,5
RandomForest,mae,vulnerable_activity,0.8601869254340281,0.0306322074923673,0.8651989901439935,0.7762260563978143,0.9067664138475818,100,0.8541830127655241,0.8661908381025321,5
RandomForest,mae,vulnerable_activity,0.8601869254340281,0.0306322074923673,0.8651989901439935,0.7762260563978143,0.9067664138475818,100,0.8541830127655241,0.8661908381025321,6
Tweedie,mae,vulnerable_activity,0.8620597105103943,0.0289209459415074,0.8682225440646587,0.7797561683979034,0.9091011030574788,100,0.8563912051058589,0.8677282159149298,6
Tweedie,mae,vulnerable_activity,0.8620597105103943,0.0289209459415074,0.8682225440646587,0.7797561683979034,0.9091011030574788,100,0.8563912051058589,0.8677282159149298,7
AdaBoost,mae,vulnerable_activity,0.862104561016763,0.0308413506227977,0.868905403411202,0.775897717285576,0.910870400542544,100,0.8560596562946947,0.8681494657388313,7
AdaBoost,mae,vulnerable_activity,0.862104561016763,0.0308413506227977,0.868905403411202,0.775897717285576,0.910870400542544,100,0.8560596562946947,0.8681494657388313,8
BayesianRidge,mae,vulnerable_activity,0.8631732991885792,0.0293423072424182,0.8679369721324275,0.7803868704084912,0.9092725332060216,100,0.8574222069690652,0.8689243914080932,8
BayesianRidge,mae,vulnerable_activity,0.8631732991885792,0.0293423072424182,0.8679369721324275,0.7803868704084912,0.9092725332060216,100,0.8574222069690652,0.8689243914080932,9
Ridge,mae,vulnerable_activity,0.8633729378684949,0.0292982422313607,0.868142219575966,0.7805598902328625,0.9094639663827416,100,0.8576304823911481,0.8691153933458416,9
Ridge,mae,vulnerable_activity,0.8633729378684949,0.0292982422313607,0.868142219575966,0.7805598902328625,0.9094639663827416,100,0.8576304823911481,0.8691153933458416,10
LinearSVR,mae,vulnerable_activity,0.866685575681264,0.0319600496702215,0.8729719876091684,0.778816753170595,0.9216704268462986,100,0.8604214059459006,0.8729497454166275,10
LinearSVR,mae,vulnerable_activity,0.866685575681264,0.0319600496702215,0.8729719876091684,0.778816753170595,0.9216704268462986,100,0.8604214059459006,0.8729497454166275,11
StochasticItemKNN,mae,vulnerable_activity,0.8705463212029187,0.0904694084620445,0.8451676696984749,0.7908762905246607,1.177610729098011,100,0.8528143171443581,0.8882783252614794,11
StochasticItemKNN,mae,vulnerable_activity,0.8705463212029187,0.0904694084620445,0.8451676696984749,0.7908762905246607,1.177610729098011,100,0.8528143171443581,0.8882783252614794,12
Bagging,mae,vulnerable_activity,0.871447153863329,0.0305362568030669,0.8786220518018176,0.7887995026256248,0.9164529937169558,100,0.865462047529928,0.8774322601967302,12
