user,SVD,BIASEDMF,NMF,StochasticItemKNN,BayesianRidge,Tweedie,Ridge,RandomForest,Bagging,AdaBoost,GradientBoosting,LinearSVR
36,0.928185508930772,0.928185508930772,0.9232070812296456,0.8469683642429905,0.7392466276391487,0.7392466276391487,0.7392466276391487,0.7392466276391487,0.736099447275912,0.7392466276391487,0.7392466276391487,0.7392466276391487
146,0.621538664943648,0.621538664943648,0.718304299026522,0.7903152219419688,0.7619050976119148,0.7542300925870216,0.7619050976119148,0.7094230666069781,0.6666258136600726,0.7271855314460659,0.7094230666069781,0.7619050976119148
184,1.0,0.9321679589452766,0.9518182284903364,0.9017480615820848,0.66015703602983,0.6554546854710096,0.66015703602983,0.7448253914693808,0.717098048733876,0.752500396494274,0.7448253914693808,0.66015703602983
195,0.8843882784991604,0.8619234631012521,0.805908577953471,0.7881461131143831,0.485594505893811,0.485594505893811,0.485594505893811,0.5101058253035319,0.507133170837459,0.5363468408060003,0.6114512051294535,0.5606988702172642
231,0.9566324599339784,0.9566324599339784,0.9430014728339742,0.3957200269368016,0.8002364110131813,0.8002364110131813,0.8002364110131813,0.712320612170974,0.7314904729152919,0.7381400784976996,0.7381400784976996,0.8002364110131813
239,0.8945378255385902,0.9295262653602948,0.8729113401821758,0.9059439692646394,0.9242091996854754,0.9275704546210536,0.9242091996854754,0.8978990804741684,0.9242091996854754,0.8678902240980642,0.8796338500533323,0.9242091996854754
343,0.8697715740121147,0.8501155446062272,0.8734729561590507,0.8469683642429905,0.8563710178615441,0.8891310830329213,0.8563710178615441,0.8878540374787309,0.8878540374787309,0.8721125276701375,0.9187828553122184,0.8841526553317949
349,0.9576049743407978,0.9634829125393232,0.9343974612438288,0.8304198973631918,0.7997807481010406,0.8362978355617173,0.7997807481010406,0.7669794787229551,0.6806816431612378,0.7669794787229551,0.7330205212770445,0.7997807481010406
411,0.9817558680267064,0.946511518233076,0.8787221480135774,0.799545222869038,0.9504547617537948,0.8799660621665338,0.9504547617537948,0.9152104119601644,0.9441390272147964,0.9152104119601644,0.9152104119601644,0.9504547617537948
422,0.8248461988617992,0.7739077626929335,0.7880248717039899,0.7880248717039899,0.7002192518989594,0.6674179825208738,0.7002192518989594,0.6674179825208738,0.5906679895169294,0.6674179825208738,0.6674179825208738,0.7002192518989594
424,0.9321679589452766,0.9059269434428084,0.9029542889767356,0.7386367365755193,0.7000183654893373,0.7000183654893373,0.7000183654893373,0.7262593809918056,0.7492476650878106,0.7109093709420191,0.6769933504146575,0.7000183654893373
496,0.9918743919356368,0.9824717383170832,0.9489894547476636,0.7841302034069062,0.7872773837701429,0.7922558114712694,0.7872773837701429,0.7758760915718051,0.7872773837701429,0.7758760915718051,0.7758760915718051,0.7872773837701429
518,0.9707863300314586,0.9660839794726382,0.9737589844975316,1.0,0.8262410155024683,0.7999999999999999,0.8262410155024683,0.8262410155024683,0.7999999999999999,0.8339160205273616,0.7999999999999999,0.8262410155024683
549,0.8116657261917926,0.9301129400741612,0.8766985007019996,0.9147552508456364,0.6253011976454766,0.6204469122298453,0.6253011976454766,0.6253011976454766,0.6483377314882642,0.6483377314882642,0.6253011976454766,0.6253011976454766
624,0.6440034803415562,0.6932695109187043,0.7148081758623522,0.8126574325241039,0.707133170837459,0.707133170837459,0.707133170837459,0.7165378719550997,0.7383566367371335,0.7224831808872455,0.7224831808872455,0.707133170837459
648,1.0,0.990247148342311,0.990247148342311,0.9157579555373606,1.0,0.990247148342311,1.0,1.0,1.0,1.0,1.0,1.0
