user,rmse,f1,ndcg,mae
127,0.6539342713984021,0.75,0.9896916885042134,0.5027108556646128
146,0.9815973975540622,0.6808510638297872,0.8339160205273616,0.8370684639424635
173,0.5767493772046427,1.0,0.9737589844975315,0.47504563768254343
183,0.7064500366780749,0.967741935483871,0.9722726572644951,0.5755949460386027
184,1.2684210552748918,0.6,0.8067836948262219,1.2154709198150677
192,0.6953231059084226,0.2222222222222222,0.946503433816368,0.6523583162339455
195,0.7453425826645335,0.9375,0.8759091142451682,0.5942791000122355
343,0.7295554474143217,0.85,0.8664055840950162,0.6387834656318909
349,0.41624119883305033,0.5,0.9767020054138111,0.3596457088647037
424,0.8489743927922203,0.7692307692307693,0.9572027470530944,0.7147348044610708
624,0.8530378226210731,0.8275862068965517,0.8490932284645064,0.6098338945491809
678,0.38811731742620054,0.9230769230769231,0.9609186813543531,0.2999401197913804
752,1.0715772425408543,0.0,0.9547586551915247,0.9096137766849896
884,1.2144690831266385,0.88,0.8072729139613462,0.9863159730489173
911,0.5347890151500707,0.8421052631578947,0.9609186813543533,0.4545011419548333
937,1.2331788987890135,0.5714285714285714,0.6800273072886169,0.8799673779710292
953,0.86910943233047,0.9,0.9999999999999999,0.7293667942604768
1019,1.1566941539962812,0.0,0.8467424891435418,1.0095619754630138
1088,1.0222272989591694,0.684931506849315,0.8767132734742671,0.8002348434977049
1101,0.9054754827452672,0.6896551724137931,0.9106292940016287,0.7849344817261178
1113,0.5294591948574939,0.9333333333333333,0.9555001783072598,0.4187676546675625
1121,0.6891073316297393,0.8496732026143791,0.7999999999999999,0.49602723014192657
1125,0.8447903325222987,0.5454545454545454,0.8970184300988078,0.7490952965628532
1164,0.9471323477389524,0.3561643835616438,0.6940730565571915,0.7642729280264839
1246,1.0537936657486524,0.47058823529411764,0.7855157089440673,0.9237239178855757
1266,0.947060711466893,0.0,0.8490303750977746,0.8726310699215911
1274,0.7621195157558991,0.9090909090909091,0.9824717383170831,0.6561562685305456
1301,0.8411758415139116,0.75,0.8863894497890414,0.6885119137574635
1306,0.8721768331591488,0.896551724137931,0.9737589844975315,0.672480064571345
1317,0.4397655096160731,0.8484848484848485,0.9999999999999999,0.3822875611522637
1421,1.041695329662294,0.6363636363636364,0.643351881246606,0.8597234612550836
1422,0.4446202031633072,1.0,0.9953667455626982,0.2798991707837087
1425,0.9646650453543509,0.8253968253968254,0.9660839794726382,0.8061348726938635
1447,1.0730249600486612,0.21052631578947367,0.7363310186693939,0.8788188339277584
1451,0.7805349264421639,0.9333333333333333,0.9529966776772836,0.6818414759581513
1647,0.6059901601358768,0.75,0.8263520638431472,0.4978280364176335
1671,1.755025802663041,0.4,0.8398425955932108,1.5918847323273237
1717,0.9198776190640956,0.5714285714285714,0.8334409105783688,0.7765987856255968
1733,0.9653439714600386,0.9444444444444444,0.9321679589452768,0.8465623977797273
1748,0.5676519525122801,0.36363636363636365,0.8362978355617173,0.4708634639374351
1780,0.6498882505779808,0.0,0.8679840540976734,0.5464081446014346
1812,1.1383283945759664,0.7272727272727273,0.8725222292240155,0.8094669672279827
1851,0.4937902074682359,0.0,1.0,0.37531743988627
1912,0.9440432411290526,0.0,0.4890906290579807,0.7347250722524881
1925,1.227432215996044,0.1509433962264151,0.742778887457568,1.0444170755402686
1943,0.9820160428408303,0.5,0.9932053170992173,0.8368569004110027
1958,0.7585092211319351,0.6,0.9210878868801214,0.596311924899877
1980,0.643423707160287,1.0,0.9497116731457058,0.48998144970952734
2015,0.9891332949921313,0.8461538461538461,0.9017480615820848,0.8533212783304052
2077,0.9239413785014494,0.6666666666666666,0.9543271605402796,0.7331932171526199
2122,0.5586704118662124,0.5714285714285714,0.9258948952415027,0.40792659051026964
2168,1.0093935179243543,0.8571428571428571,0.9999999999999999,0.9148976671520668
2195,0.9210154102017495,0.0,0.8303463515641863,0.8727896596436677
2376,0.8348248195272031,0.7586206896551724,0.7648970672693893,0.6389365520401574
2395,0.8980188592465592,0.6,0.9832792200754978,0.7653039839629032
2451,0.6764688154714273,1.0,0.9850833011107372,0.5291865794690632
2489,0.5464964775148105,0.8108108108108109,0.9073297124801153,0.42316596513572285
2504,0.9303626157374043,0.8571428571428571,0.9242748093029945,0.5738145005251609
2544,0.817009886638696,0.125,0.6365033187364333,0.6535018877140845
2841,1.3231479013806255,0.8,0.9321679589452766,1.0501558719477155
