method,RMSE,NDCG,F1,MAE
SVD,0.9653172293720833,0.8896887140148195,0.7301006404391582,0.7605541981051039
BIASEDMF,0.9760544418037883,0.8769010210679123,0.721415607985481,0.7708902980731943
NMF,1.029389122611532,0.8713091301096356,0.6984126984126984,0.8132110955609753
StochasticItemKNN,1.0989585699316502,0.8456619588570918,0.6365648517042939,0.8706741525010975
BayesianRidge,0.9641102637949366,0.8885984546802238,0.7174975562072337,0.7693123641597405
Tweedie,0.9677455823037181,0.8884407459787744,0.6937531742001015,0.7729382974001505
Ridge,0.9638800719213073,0.8884441007151469,0.7176986835689907,0.7689294474202291
RandomForest,0.9691444145231146,0.8848993751408858,0.7140058765915769,0.7665074000718749
Bagging,0.993903330831744,0.8797264409228267,0.6913106096975516,0.7933068278357011
AdaBoost,0.970850749929765,0.8841066921920815,0.7090729783037475,0.7689022045007432
GradientBoosting,0.9745318688313162,0.8836901988012296,0.7208073041806824,0.7747508937134919
LinearSVR,0.9598217582766332,0.8875276144919653,0.7343311506080449,0.7590633052880414
