method,RMSE,NDCG,F1,MAE
SVD,0.93165334187,0.8740865850858309,0.7052154195011338,0.7327855823124325
BIASEDMF,0.9356548333381746,0.8783507232201684,0.704983769333588,0.734855007837626
NMF,1.0051627889276193,0.8591477250175658,0.6507462686567164,0.7968375959725944
StochasticItemKNN,1.0684540566147176,0.822708787418844,0.6508793313599164,0.8422461401095631
BayesianRidge,0.9309256842245506,0.8762702075536042,0.701608325449385,0.7323069325795097
Tweedie,0.9353308849533459,0.8760489554454315,0.6898448241995678,0.7397353836507313
Ridge,0.9309520182290445,0.8762183484924075,0.7017212029506337,0.7322738048406858
RandomForest,0.9290667262194361,0.8783090513441669,0.7140228192859772,0.7307250322522607
Bagging,0.951753694056446,0.8645913452606515,0.6896421845574388,0.7511340866335863
AdaBoost,0.9302228931349886,0.8775866859872238,0.7118518518518518,0.7386508286597604
GradientBoosting,0.9324510960703793,0.8746997509509495,0.7061664190193165,0.7344277247507575
LinearSVR,0.9356022495194638,0.8772532494751321,0.7129731716280779,0.7328972597159461
