method,RMSE,NDCG,F1,MAE
itemKNN,1.1773269505445179,0.8763286845027048,0.6657986111111112,0.8898231909898904
BIAS,1.0483737146538263,0.8901123941173981,0.677533039647577,0.8409864226031397
userKNN,0.9787263576963063,0.8856650779660252,0.734785875281743,0.7729082543189533
SVD,0.9718344105698522,0.8963069326216754,0.6876387860843819,0.780827369762444
BIASEDMF,0.9814664469013321,0.8936373086529988,0.6828729281767956,0.7882608730978085
BayesianRidge,1.1436547875279437,0.8137783144668895,0.5757303370786517,0.939229065265568
Tweedie,1.1436379485920287,0.8143796344836721,0.567647729865389,0.9406157807638927
Ridge,1.1435816498324403,0.814411707037638,0.5747023140867221,0.9387668530549481
RandomForest,1.1481979851142303,0.81426103607574,0.5020345879959308,0.9469080641541454
Bagging,1.1689834945532946,0.8138627337617528,0.5629596612435926,0.9589215406406694
AdaBoost,1.1483532618403176,0.8136516270560362,0.4558189655172414,0.9448627928192568
GradientBoosting,1.1472879648971002,0.8052537939717653,0.5237042495701302,0.9460698464483459
LinearSVR,1.1435172220723875,0.814839532432287,0.6153846153846154,0.9362810996542958
