method,RMSE,NDCG,F1,MAE
SVD,0.9316973657412858,0.8752482278559897,0.7058157099697885,0.7330925356153323
BIASEDMF,0.9374440675557048,0.8764599575683187,0.7053435114503817,0.7368581325810815
NMF,0.9981396150435523,0.8664562139796465,0.6627836915043182,0.7868166860586476
StochasticItemKNN,1.0692615980567854,0.8192165821249001,0.650707670802027,0.8439217643944801
BayesianRidge,0.9296644438106288,0.8760352489159279,0.7031131359149583,0.7313503845880908
Tweedie,0.9332475774231705,0.8772191927881193,0.6945705824284304,0.7382873732228864
Ridge,0.9297234037696532,0.8761229422448702,0.7029796925412792,0.7313471007912332
RandomForest,0.9281669950830511,0.8762472957963043,0.7197533103573373,0.7318317953335309
Bagging,0.9474603726253404,0.8681283159883175,0.6938698758931929,0.7484248358374691
AdaBoost,0.9298204616518835,0.8763599942170741,0.7178649237472767,0.7354232990070961
GradientBoosting,0.9310227206816504,0.8784336196539,0.7132918344928597,0.7341335693718845
LinearSVR,0.9353593163071279,0.8763287218033051,0.7136547662863453,0.7317142141958052
