method,RMSE,NDCG,F1,MAE
SVD,0.9755524368784417,0.8836222170229225,0.6689761354888376,0.7699409909367644
BIASEDMF,0.9855301039945392,0.8812031972139264,0.6666666666666666,0.7766665577149905
NMF,1.039338539986859,0.8784339340807237,0.6453143534994069,0.8162547320434983
StochasticItemKNN,1.1003179354951136,0.8305679852401172,0.6407555394115511,0.8686002569923689
BayesianRidge,0.9671880809205217,0.8874015436953533,0.6645669291338583,0.7673334664477106
Tweedie,0.9694046324711114,0.8870533347394339,0.6454248366013072,0.7710474273558098
Ridge,0.9672689306546932,0.8881264349485648,0.6653543307086615,0.767377271162312
RandomForest,0.9715819089590018,0.8887373759749654,0.6684761535478868,0.766661784108445
Bagging,0.9871712462496376,0.8780221421240566,0.6588785046728972,0.7810219278059549
AdaBoost,0.9727539437687434,0.8873891104092196,0.6514423076923077,0.7750666902999294
GradientBoosting,0.9723065223285675,0.8852916117549093,0.6669242658423493,0.7704853722817596
LinearSVR,0.9696127892810429,0.8876812608468749,0.6758199847444699,0.7657664611359044
