method,RMSE,NDCG,F1,MAE
SVD,0.8998808435059222,0.9021779320946991,0.7381808128283107,0.702500851442081
BIASEDMF,0.9006672757806425,0.9064186212975677,0.7461873638344226,0.6996966839543746
NMF,0.9372168855984738,0.887000184811577,0.7165850244926522,0.7313316914148348
StochasticItemKNN,1.0588708336712924,0.8492363485970233,0.7041737856968514,0.8217311021219414
BayesianRidge,0.8939770211290455,0.9072590298391034,0.729421940320023,0.7024496049062046
Tweedie,0.8984906562630606,0.9071570332276289,0.7156128258915193,0.705880985987667
Ridge,0.8940176730084064,0.9072265810853534,0.7293948126801153,0.7024639656335638
RandomForest,0.8961431668795766,0.9060894677944592,0.7379184759770276,0.7031459075005689
Bagging,0.9154336326203721,0.8905880491761391,0.7183338056106546,0.7253422806296537
AdaBoost,0.900538886494713,0.9050668562987824,0.6999073788206237,0.7081492172423736
GradientBoosting,0.897346267374674,0.9048122783860075,0.7373453318335208,0.7043794873703231
LinearSVR,0.895252366735412,0.9077158843525686,0.7372283375670335,0.6992883987512098
