method,RMSE,NDCG,F1,MAE
itemKNN,0.9237338659789138,0.8859595312958028,0.7246552507955751,0.7202841970810984
BIAS,0.9228222427788153,0.8830935938826454,0.7244575045207957,0.7307387374278669
userKNN,0.9360447880906413,0.8784262140983458,0.7306632073941949,0.731611322287013
SVD,0.9010309494494795,0.8861403505861585,0.721104420619768,0.710945327615806
BIASEDMF,0.9015733767133519,0.8843970464144414,0.7225238444607484,0.708525808950166
BayesianRidge,1.058585176449746,0.7855374016520217,0.6107561853873853,0.8602950410814043
Tweedie,1.0580351915321298,0.786104702706714,0.6022955863211454,0.8607891484710815
Ridge,1.0585934256060754,0.7859372600305919,0.6105556847244826,0.8601050212655338
RandomForest,1.057241604372188,0.785947358722794,0.617481414733048,0.8601623612371782
Bagging,1.08560143166002,0.7896820476100017,0.5940548605531963,0.876463127567546
AdaBoost,1.0572326661023337,0.7846598259865245,0.6007317361029152,0.8639043748868689
GradientBoosting,1.0580371226425844,0.7823844687987556,0.6241340782122905,0.8660973554800822
LinearSVR,1.0612991741197413,0.7852484719118329,0.6396502079556361,0.8635737064757754
