method,RMSE,NDCG,F1,MAE
SVD,0.964857166018519,0.8908840550204684,0.7273563218390805,0.7598890496973147
BIASEDMF,0.9761317730487638,0.8782272296223895,0.7210884353741497,0.7715133191038492
NMF,1.033809068904692,0.8668016534302095,0.6858513189448441,0.8166705507760914
StochasticItemKNN,1.100062000928303,0.836820225972194,0.6372377622377622,0.8711236795577827
BayesianRidge,0.9634581509589749,0.8844922141992148,0.7067448680351907,0.7694760763532876
Tweedie,0.9667408816608594,0.8855312664815502,0.6964014191586416,0.7736872861351399
Ridge,0.9632057950464346,0.8838149517984052,0.7054794520547946,0.7689854499874783
RandomForest,0.9691274690582322,0.8848516383116625,0.7106549364613881,0.770447169946871
Bagging,0.9906873067784076,0.8784433562997122,0.697495183044316,0.7890565392354124
AdaBoost,0.9724444050061548,0.8860950165786492,0.7051792828685259,0.7724317131647583
GradientBoosting,0.9764729134380552,0.8843331762378562,0.7129674599320058,0.7750326877454352
LinearSVR,0.9618650434127772,0.885811192532892,0.7252336448598131,0.7614579979729792
