method,RMSE,NDCG,F1,MAE
itemKNN,0.880148086786878,0.8999707635772689,0.7505482456140351,0.6854542402636647
BIAS,0.9037364662467007,0.8877864012987111,0.7354013343421143,0.7104651392045387
userKNN,0.927010293793874,0.8951771750350995,0.750181123625107,0.7247396771583265
SVD,0.8931350264023619,0.8931252695946734,0.7414607433773701,0.7001785805101616
BIASEDMF,0.8800472183680891,0.8986314404338284,0.7527695217508782,0.6885585783572138
BayesianRidge,1.0650607622896953,0.7838700148252623,0.6077678190354247,0.8670781803317998
Tweedie,1.0661959964879637,0.7845390010513655,0.6059474213475076,0.8708336258757322
Ridge,1.0650511725344785,0.784052109993763,0.6082811610700057,0.8669234230418539
RandomForest,1.0643666266517722,0.7866411977111708,0.6248819322628525,0.8661376480020563
Bagging,1.0800691012520551,0.7889037580842639,0.5858614768174013,0.8750308259219873
AdaBoost,1.0658330456899585,0.7859492623905798,0.6362623681279077,0.871661079143866
GradientBoosting,1.0654409855723244,0.7905959836519315,0.6181495148284816,0.8700012745775911
LinearSVR,1.0730324433053895,0.7835124007867229,0.6506935687263556,0.8720753411432798
