algorithm,appearances
SVD,15
BIAS,13
BIASEDMF,11
userKNN,10
itemKNN,9
RandomForest,8
Bagging,8
AdaBoost,8
GradientBoosting,7
LinearSVR,4
Tweedie,3
Ridge,3
BayesianRidge,1
