user,rmse,f1,ndcg,mae
23,0.9768335133642082,0.0,0.7952976494411795,0.8119644438016003
36,0.6338300863724778,0.9090909090909091,0.8427972529469054,0.506202722184156
65,0.7705959704752493,0.8421052631578947,0.9438140913978618,0.6308824780719834
89,1.1279213793421015,0.8888888888888888,0.9697625643430079,0.9237775451458119
90,0.8961397937035858,0.391304347826087,0.7987937726053492,0.7068819311417704
99,1.319003226040208,0.45714285714285713,0.7876226444162863,1.1378011816678426
116,1.0739358813976092,0.7142857142857143,0.817098048733876,0.8922719272856999
127,0.5560102761751139,0.6666666666666666,1.0,0.47526017387340547
133,0.8772150513150879,0.8571428571428571,0.9584031150925102,0.7263272862608746
137,0.5721788479723301,0.6496815286624203,0.8720109229154467,0.4674425944761491
140,0.9051863324608082,0.8571428571428571,0.9136019484677016,0.8535905751101731
149,0.856976609044492,0.7428571428571429,0.8863894497890414,0.6611286820847602
151,0.5974219281658346,0.5,1.0,0.5567298318210465
169,0.6754130651676838,0.0,0.8961553216821823,0.5014023470902622
173,0.8419014164101528,0.8631578947368421,0.9321679589452768,0.6999407457906726
180,0.742887826469115,0.6153846153846154,0.7939028099025153,0.5620576393331606
183,1.4436349304255631,0.7692307692307693,0.7625878563084686,1.2552956459251123
195,0.7504266176975777,0.8131868131868132,0.9321679589452766,0.600402962529667
201,0.917745688753729,0.6666666666666666,0.9284233335690262,0.824331865009189
231,1.2480291879531336,0.84,0.7142857142857143,0.907161014644354
235,0.6466774769093045,0.9230769230769231,0.9546901008468324,0.567125260106113
237,0.7985662634394195,0.3333333333333333,0.9767020054138111,0.7305080999827436
239,0.6652288271303831,1.0,0.9321679589452766,0.587263371822541
271,1.1609000371441656,0.6511627906976745,0.9445453145289903,0.9364062508172162
293,1.1570442729341635,0.7777777777777778,0.9707863300314586,0.9139324830669037
299,0.53303014072054,0.9743589743589743,0.8982519384179152,0.47912728203210736
308,0.5827432367479336,0.7130434782608696,0.8595804706655809,0.4643247464908544
319,0.5353690431962443,0.5,0.9625133468165444,0.4649294850725068
329,0.5725036955168414,0.0,0.9054707072811291,0.4671268560345283
331,0.7784915155402251,0.8214285714285714,0.8588904151642126,0.6617580528747601
333,1.2598577986554038,0.29411764705882354,0.8814156240330875,1.0239467749190534
338,0.797502961620422,0.5714285714285714,0.8823525977660154,0.6847798085798197
343,0.795295157762743,0.9354838709677419,0.9851048823336047,0.6894937531853972
411,0.8487485449678125,0.6060606060606061,0.8966944538498194,0.657435354209747
424,0.6643131462303862,0.8913043478260869,0.9999999999999999,0.5189727594004446
442,0.906302497345457,0.7291666666666666,0.838094902388085,0.727409646381786
453,0.519592135564121,1.0,0.9856189186803198,0.47019234448148045
496,0.7970795913980769,0.85,0.8631296904959027,0.6911316322329375
531,0.7532660933425926,0.5481481481481482,0.8339160205273616,0.6126863683451106
549,1.2116850813983187,0.6,0.8248461988617992,1.050905164061731
624,0.9145161151897085,0.6666666666666666,0.9415726600629174,0.7534447693016236
667,0.6360251953566461,0.8,0.9192029889169524,0.5493778850847537
678,0.35952651287049703,0.9,1.0,0.31542935212516404
710,0.5153600872520884,0.8333333333333334,1.0,0.3657404265952303
721,0.5213188231114192,0.8169014084507042,0.8883359129777063,0.39435287800031793
727,1.0842660408458802,0.2857142857142857,0.8819603447802984,0.974379530558653
749,0.772260344988333,0.6153846153846154,0.9073297124801153,0.6446251039950122
752,1.015891284418026,0.2857142857142857,0.9018337418907586,0.8666292799624007
755,0.7784704136748684,0.8679245283018868,0.9737589844975315,0.632420785311718
839,1.1193277594868796,0.8235294117647058,0.9281855089307721,0.8714528073697889
840,1.0880792451845964,0.8571428571428571,0.9737589844975315,0.8185226640656742
856,1.0381867300760121,0.6666666666666666,0.8154853446258037,0.9368034495242501
869,1.0068879364898224,0.5586592178770949,0.7363468408060002,0.816824300195149
884,0.8943185816315647,0.8636363636363636,0.9999999999999999,0.7330638141471105
890,1.19425597340647,0.821917808219178,0.9475179689950631,1.0931169167439356
897,0.9469940253853751,0.8461538461538461,0.8690382684493738,0.7442163726090709
911,1.380882980015527,0.7272727272727273,0.844375385663453,1.1272649822903769
937,0.9213133046292605,0.7272727272727273,0.9190474511940424,0.7458285163004442
943,0.7512433390194246,0.9411764705882353,0.9445453145289903,0.6901793711690883
953,0.7277846469494618,1.0,0.9684351547520486,0.6216344873402433
993,0.956649862150394,0.4444444444444444,0.7985527549312128,0.8415045680449647
1010,0.8951254116942284,0.2,0.8080187867133273,0.7272635051008919
1019,0.9635436789187559,0.3333333333333333,0.8768618059876677,0.8116199406571863
1021,0.5459131554158219,0.9777777777777777,0.9834790051318404,0.4756153477997801
1029,1.8487033779994968,0.0,0.8231655380657745,1.7367885485630414
1051,1.5657928824490843,0.2222222222222222,0.44052265279789393,1.2894800412116256
1088,0.6940349109078747,0.8211920529801324,0.9565602538756169,0.5149211097002758
1113,0.4884112172081916,1.0,0.8815556625032827,0.46058130115227897
1117,0.6266354856699947,0.7716535433070866,1.0,0.5032544601853816
1120,0.6619867679026366,0.8,1.0,0.6084740680535826
1125,0.8259754060886936,0.7692307692307693,0.8972566910972847,0.6976666571109258
1142,0.9633024740454853,0.6111111111111112,0.8265314126414159,0.8139827655539325
1164,0.8744407387147177,0.46153846153846156,0.8362978355617173,0.6922110453769278
1173,1.1133600669795303,0.6666666666666666,0.9390470420953603,1.080182842347198
1182,0.7939541735183683,0.7941176470588235,0.8938113222081432,0.6723112295815767
1202,0.5691225625842385,0.75,0.9609186813543533,0.4811087406603979
1203,0.6663103056742247,0.7318840579710145,0.9446853529991857,0.5173980013727572
1219,0.8645510982041181,0.7692307692307693,0.8797284294143678,0.7478693288802576
1228,0.8711471866694356,0.8,1.0,0.8403636255341997
1243,0.4889348015579084,0.8175182481751825,0.9711524961933974,0.3716061978758993
1252,0.6198765537318974,0.8571428571428571,0.9961581648476712,0.4792507428120129
1266,0.7117362299673731,0.9230769230769231,0.9999999999999999,0.5800075006430968
1274,0.7832230488167289,0.9230769230769231,0.9371618391639155,0.6652598479779966
1317,0.7397108968119618,0.8333333333333334,0.9711836466547699,0.602665412946635
1347,0.9772630469421739,0.6666666666666666,0.9660839794726382,0.8955935305282626
1348,0.7563044587935194,0.8108108108108109,0.8828756097776044,0.5219859220119697
1352,0.665413084819183,0.6666666666666666,0.9627554035975248,0.6238013323202757
1355,1.1747816108967564,1.0,0.9627554035975248,0.8282710686031424
1369,0.76964115744044,0.7692307692307693,0.8337318574827226,0.6559748863948607
1389,0.8360313566076175,0.8571428571428571,0.8767132734742671,0.6319161680238712
1395,0.6109938364058805,0.9,0.9382218423783051,0.46702757552013724
1413,1.2840350195422938,0.7466666666666667,0.918304299026522,1.0617021798959971
1415,1.0104068226924536,0.5,0.8873609329652332,0.8880530346547816
1421,0.9181233807989383,0.8571428571428571,0.9699990753013531,0.7257039156555081
1425,0.72795877700213,0.8888888888888888,0.9961581648476712,0.5617736367099674
1447,0.7703947858913066,0.7,0.9306746544266233,0.6192709148690045
1458,0.8145649101701009,0.9176470588235294,0.7923249949751067,0.6803917225259937
1484,0.7506160868156241,0.6583850931677019,0.9314248067777561,0.6070331983612659
1524,0.7412190218170138,0.8571428571428571,0.9737589844975315,0.6810028466387225
1546,1.0453546514852936,0.6666666666666666,0.9875022990263562,0.7623497360242751
1551,0.7754706433927266,0.7692307692307693,0.8841526553317949,0.6608538971180296
1556,1.242516242301785,0.7777777777777778,0.9572027470530944,1.1282316305370221
1560,1.0107018428208534,0.66,0.9321679589452768,0.8551521750913081
1579,0.8871878373605359,0.5263157894736842,0.928185508930772,0.7246052156800822
1597,0.9561722575450317,0.7301587301587301,0.9999999999999999,0.7632140738458348
1599,1.0277884621395847,0.36363636363636365,0.9627554035975248,0.9200321432688849
1605,0.7119489846511532,0.6666666666666666,0.8362978355617173,0.5729563656545861
1611,0.6871957981708797,0.6896551724137931,0.9902471483423109,0.5617447063965305
1624,1.3983267516797764,0.47058823529411764,0.930961731550626,1.197245158580961
1643,0.8961770887324951,0.8648648648648649,0.9999999999999999,0.7656608426711004
1645,1.1736146300944126,0.9333333333333333,0.8986342410750469,0.7276749004885716
1647,0.5682592191068893,0.6956521739130435,0.9671987306219144,0.4701977837339116
1717,0.7580644120951174,0.9859154929577465,0.9660839794726382,0.6622174079184716
1733,0.5122981448637414,0.7222222222222222,0.9218373627087064,0.4197750391146681
1748,0.6932361483910547,0.5714285714285714,0.8100119098188597,0.5152802366707917
1752,0.7806704749487446,0.6666666666666666,0.9157579555373606,0.6380353394378249
