method,value
StochasticItemKNN,0.9081694052415988
StochasticItemKNN,0.9011463893815992
StochasticItemKNN,0.9388446472964304
StochasticItemKNN,0.8890493597865525
StochasticItemKNN,0.8627276607636442
StochasticItemKNN,0.7058371051092576
StochasticItemKNN,0.7124905303059724
StochasticItemKNN,0.7091840331482445
StochasticItemKNN,0.7122233796377916
StochasticItemKNN,0.7027106007807786
StochasticItemKNN,0.7556707809693229
StochasticItemKNN,0.7468997163706154
StochasticItemKNN,0.8147511002190855
StochasticItemKNN,0.770881205411955
StochasticItemKNN,0.7615691371136731
StochasticItemKNN,0.8801858203508663
StochasticItemKNN,0.9568820816713188
StochasticItemKNN,0.9460802261827654
StochasticItemKNN,0.870649952074461
StochasticItemKNN,0.94931670764486
StochasticItemKNN,0.7748929534397261
StochasticItemKNN,0.7748336631218148
StochasticItemKNN,0.7725921779934765
StochasticItemKNN,0.7759465812887513
StochasticItemKNN,0.7752124851792148
StochasticItemKNN,0.8034344501546332
StochasticItemKNN,0.8004592660840588
StochasticItemKNN,0.801472825158192
StochasticItemKNN,0.8007072321350545
StochasticItemKNN,0.8000000806736031
StochasticItemKNN,0.7262694265274207
StochasticItemKNN,0.7296473311385657
StochasticItemKNN,0.7306198333722594
StochasticItemKNN,0.7295310047897463
StochasticItemKNN,0.73015151549994
StochasticItemKNN,0.9827835882179916
StochasticItemKNN,0.9805441714191028
StochasticItemKNN,0.981528120097804
StochasticItemKNN,0.9820053641618436
StochasticItemKNN,0.9835145090715508
StochasticItemKNN,0.7370828152066858
StochasticItemKNN,0.7399830759111049
StochasticItemKNN,0.7407003759346161
StochasticItemKNN,0.7421522788233172
StochasticItemKNN,0.74123128760836
StochasticItemKNN,0.7274349237622311
StochasticItemKNN,0.7126539956944341
StochasticItemKNN,0.7174203698976575
StochasticItemKNN,0.7206632054792778
StochasticItemKNN,0.7130526404145776
StochasticItemKNN,0.7344770855516637
StochasticItemKNN,0.722776863365571
StochasticItemKNN,0.7261184583002284
StochasticItemKNN,0.7282555642771946
StochasticItemKNN,0.7088063444270093
StochasticItemKNN,0.7124575226622749
StochasticItemKNN,0.7152413410087387
StochasticItemKNN,0.7166526060381316
StochasticItemKNN,0.7210104655113542
StochasticItemKNN,0.7118719752975782
StochasticItemKNN,0.733145281262202
StochasticItemKNN,0.7842995666409774
StochasticItemKNN,0.7279411080778906
