user,SVD,BIASEDMF,NMF,StochasticItemKNN,BayesianRidge,Tweedie,Ridge,RandomForest,Bagging,AdaBoost,GradientBoosting,LinearSVR
36,0.8571428571428571,0.8571428571428571,0.5882352941176471,0.9166666666666666,0.7,0.631578947368421,0.7,0.631578947368421,0.7619047619047619,0.7,0.631578947368421,0.7619047619047619
146,0.7741935483870968,0.75,0.6428571428571429,0.75,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.6206896551724138,0.5,0.5517241379310345,0.6451612903225806
184,0.8,0.8048780487804879,0.7804878048780488,0.8210526315789474,0.7073170731707317,0.6923076923076923,0.7073170731707317,0.6753246753246753,0.75,0.6842105263157895,0.7341772151898734,0.7228915662650602
195,0.7333333333333333,0.7333333333333333,0.6923076923076923,0.6666666666666666,0.6428571428571429,0.6666666666666666,0.6896551724137931,0.6666666666666666,0.5185185185185185,0.6896551724137931,0.6666666666666666,0.6666666666666666
231,0.8846153846153846,0.8846153846153846,0.9787234042553192,0.8518518518518519,0.84,0.84,0.84,0.84,0.8571428571428571,0.84,0.84,0.84
239,0.8,0.8,0.8,0.5714285714285714,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
306,0.8,0.8,0.2857142857142857,0.2857142857142857,0.8,0.6666666666666666,0.8,0.8,0.6666666666666666,0.8,0.8,0.8
343,0.8235294117647058,0.8571428571428571,0.75,0.85,0.625,0.625,0.625,0.6666666666666666,0.7058823529411765,0.6666666666666666,0.6666666666666666,0.6666666666666666
349,0.7692307692307693,0.8571428571428571,0.6666666666666666,0.8,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6153846153846154,0.7692307692307693,0.7692307692307693,0.7692307692307693
411,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,0.6,0.6,0.4444444444444444,0.0,0.2222222222222222,0.0,0.2222222222222222,0.4,0.2,0.0,0.4,0.4
424,0.8073394495412844,0.8181818181818182,0.8073394495412844,0.8135593220338984,0.6481481481481481,0.6415094339622641,0.6481481481481481,0.6728971962616822,0.6851851851851852,0.6542056074766355,0.6666666666666666,0.6605504587155964
