analysis_type,group,method,metric,mean,ci_lower,ci_upper
fairness_gender,male,SVD,rmse,0.9143971125889482,0.9089579484995294,0.919836276678367
fairness_gender,male,BIASEDMF,rmse,0.9171613418053286,0.910600510775697,0.9237221728349602
fairness_gender,female,SVD,rmse,0.9416164225894427,0.9279040856557434,0.9553287595231419
fairness_gender,female,BIASEDMF,rmse,0.945144152027207,0.9302878837814664,0.9600004202729476
fairness_gender,female,NMF,rmse,0.9943160650007961,0.97659567573202,1.0120364542695721
fairness_gender,male,NMF,rmse,1.0182974216313785,0.9840964204924216,1.0524984227703353
fairness_gender,male,Tweedie,rmse,1.0723271263958467,1.0636273471016109,1.0810269056900825
fairness_gender,female,StochasticItemKNN,rmse,1.0742470651821734,1.0603666718976776,1.0881274584666691
fairness_gender,male,GradientBoosting,rmse,1.0752994812520997,1.0666389971071486,1.0839599653970509
fairness_gender,male,AdaBoost,rmse,1.0755111391345833,1.067033652617784,1.0839886256513827
fairness_gender,male,RandomForest,rmse,1.0755688991015584,1.06677187737402,1.0843659208290968
fairness_gender,male,BayesianRidge,rmse,1.0789304183245247,1.0697488621485378,1.0881119745005117
fairness_gender,male,Ridge,rmse,1.0792521901694117,1.0700775961980882,1.0884267841407351
fairness_gender,male,Bagging,rmse,1.087786321427858,1.079055559669269,1.096517083186447
fairness_gender,male,LinearSVR,rmse,1.0879585024834315,1.0781615303036194,1.0977554746632436
fairness_gender,male,StochasticItemKNN,rmse,1.0962018177331714,1.0662054682043773,1.1261981672619654
fairness_gender,female,Tweedie,rmse,1.1028304299825937,1.0910674244663856,1.1145934354988019
fairness_gender,female,AdaBoost,rmse,1.1037384907425452,1.0913699541165518,1.1161070273685385
fairness_gender,female,GradientBoosting,rmse,1.1057889000408192,1.0934094863325625,1.1181683137490759
fairness_gender,female,BayesianRidge,rmse,1.1060987049281168,1.0940810823358198,1.1181163275204138
fairness_gender,female,Ridge,rmse,1.1062571484510155,1.0942234298498106,1.1182908670522205
fairness_gender,female,RandomForest,rmse,1.1063486665802438,1.0938547115916546,1.118842621568833
fairness_gender,female,LinearSVR,rmse,1.1181128323686134,1.1055561295626537,1.130669535174573
fairness_gender,female,Bagging,rmse,1.1204681010465816,1.1079212736967419,1.1330149283964213
