analysis_type,group,method,metric,mean,ci_lower,ci_upper
fairness_activity,low,SVD,f1,0.7215924293218245,0.7146490119933606,0.7285358466502885
fairness_activity,high,BIASEDMF,f1,0.7213912552015099,0.7173478106884978,0.725434699714522
fairness_activity,low,BIASEDMF,f1,0.7210515956608173,0.7131091544435023,0.7289940368781324
fairness_activity,high,SVD,f1,0.7189941049048797,0.7145468603689454,0.723441349440814
fairness_activity,high,NMF,f1,0.7030370398980468,0.6984008045982277,0.7076732751978658
fairness_activity,low,NMF,f1,0.6842222331427383,0.6737654740883936,0.6946789921970831
fairness_activity,low,StochasticItemKNN,f1,0.6824803767608444,0.6737618963604513,0.6911988571612375
fairness_activity,high,StochasticItemKNN,f1,0.6519831372034597,0.6468743529867621,0.6570919214201573
fairness_activity,low,LinearSVR,f1,0.6215843898472693,0.6149910240184193,0.6281777556761192
fairness_activity,low,RandomForest,f1,0.6143122882745058,0.6077260747143151,0.6208985018346965
fairness_activity,low,GradientBoosting,f1,0.6143059045058855,0.6079265082841513,0.6206853007276197
fairness_activity,low,Bagging,f1,0.6069585811381555,0.6005410031698716,0.6133761591064394
fairness_activity,low,Ridge,f1,0.6063569491899089,0.5996965504424264,0.6130173479373914
fairness_activity,low,BayesianRidge,f1,0.6063260038721943,0.5996618496545747,0.6129901580898138
fairness_activity,low,AdaBoost,f1,0.6044864225222771,0.597442065095566,0.6115307799489883
fairness_activity,low,Tweedie,f1,0.5893242788576871,0.5826223279110199,0.5960262298043544
fairness_activity,high,LinearSVR,f1,0.5735577138871556,0.5609133659931682,0.586202061781143
fairness_activity,high,GradientBoosting,f1,0.5646509119786857,0.5505494968030828,0.5787523271542885
fairness_activity,high,RandomForest,f1,0.5616503569354022,0.5460250939561319,0.5772756199146726
fairness_activity,high,Bagging,f1,0.5610330591850502,0.5476510974538157,0.5744150209162847
fairness_activity,high,Ridge,f1,0.5586152884045116,0.5447091657546727,0.5725214110543505
fairness_activity,high,BayesianRidge,f1,0.5584890059444692,0.5445079195952661,0.5724700922936722
fairness_activity,high,AdaBoost,f1,0.5536214384752842,0.5378992796196738,0.5693435973308947
fairness_activity,high,Tweedie,f1,0.5416232531996061,0.5255672081002811,0.5576792982989311
