user,itemKNN,BIAS,userKNN,SVD,BIASEDMF,BayesianRidge,Tweedie,Ridge,RandomForest,Bagging,AdaBoost,GradientBoosting,LinearSVR
127,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
146,0.7142857142857143,0.7,0.851063829787234,0.65,0.6666666666666666,0.631578947368421,0.5945945945945946,0.631578947368421,0.6666666666666666,0.6842105263157895,0.631578947368421,0.6153846153846154,0.7142857142857143
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352
183,0.8529411764705882,0.8823529411764706,0.8529411764705882,0.8823529411764706,0.8484848484848485,0.8656716417910447,0.8656716417910447,0.8823529411764706,0.8656716417910447,0.8823529411764706,0.8823529411764706,0.8529411764705882,0.8695652173913043
195,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.972972972972973,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9444444444444444,0.9444444444444444,0.9142857142857144,0.9444444444444444,0.9142857142857144
235,0.8727272727272727,0.8518518518518519,0.8,0.8727272727272727,0.8518518518518519,0.8301886792452831,0.8076923076923077,0.8301886792452831,0.8727272727272727,0.76,0.8301886792452831,0.8518518518518519,0.8518518518518519
343,0.8888888888888888,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8888888888888888,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8636363636363636,0.8372093023255814,0.8636363636363636
349,0.8695652173913043,0.8695652173913043,0.8181818181818182,0.8695652173913043,0.9090909090909092,0.8695652173913043,0.9090909090909092,0.8695652173913043,0.9090909090909092,0.8,0.8695652173913043,0.8695652173913043,0.8695652173913043
424,0.7478991596638656,0.75,0.7553648068669528,0.7264957264957265,0.7615062761506276,0.748898678414097,0.7162790697674418,0.7433628318584071,0.7377777777777778,0.7339449541284404,0.7400881057268722,0.7466666666666667,0.7478260869565218
442,0.8,0.8,0.8,0.8,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.8
496,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8888888888888888
531,0.7272727272727273,0.4444444444444444,0.25,0.4444444444444444,0.4444444444444444,0.25,0.25,0.25,0.25,0.4444444444444444,0.25,0.25,0.25
624,0.8148148148148148,0.7692307692307693,0.8571428571428571,0.7692307692307693,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.8148148148148148
641,0.8888888888888888,0.8857142857142857,0.88,0.8857142857142857,0.9014084507042254,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9014084507042254,0.8857142857142857,0.8857142857142857,0.9014084507042254
752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884,0.88,0.88,0.8461538461538461,0.88,0.8461538461538461,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
911,0.5333333333333333,0.7777777777777778,0.8421052631578947,0.7777777777777778,0.8421052631578947,0.625,0.625,0.5333333333333333,0.7777777777777778,0.5333333333333333,0.625,0.625,0.7777777777777778
937,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666
953,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1019,0.3333333333333333,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,0.6813186813186813,0.7126436781609196,0.7126436781609196,0.6818181818181818,0.7126436781609196,0.7142857142857143,0.7272727272727273,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.6987951807228916,0.6987951807228916,0.7126436781609196
1101,0.7096774193548387,0.6896551724137931,0.5925925925925926,0.6896551724137931,0.7333333333333333,0.6896551724137931,0.5925925925925926,0.6896551724137931,0.6896551724137931,0.6666666666666666,0.6896551724137931,0.6896551724137931,0.6896551724137931
1121,0.8701298701298701,0.8553459119496856,0.8407643312101911,0.8553459119496856,0.8461538461538461,0.8461538461538461,0.8496732026143791,0.8461538461538461,0.8516129032258064,0.8280254777070064,0.8516129032258064,0.8516129032258064,0.8535031847133758
