user,rmse,f1,ndcg,mae
20,0.7777368454628855,0.9333333333333333,0.8836772063664593,0.6565492382206578
36,0.7647839504625035,0.9302325581395349,0.8339160205273616,0.6494602578787082
65,0.5050712911347354,0.9411764705882353,0.9921181676913063,0.4040505902352461
146,1.133035541129549,0.7719298245614035,0.9076566395355559,0.8917894577528863
173,0.850813936137925,0.7792207792207793,0.8319062474942236,0.6810104556293542
183,1.242336343235393,0.75,0.9921181676913063,1.0750141794226584
195,0.9578532694891505,0.7096774193548387,0.9184443374967172,0.8014862971891344
235,1.4634304389408337,0.4444444444444444,0.6550618440089264,1.1126424102167713
271,0.801997756153304,0.875,0.798860319098361,0.5879253666616553
302,0.9157835294423472,0.5777777777777777,0.9398429639701699,0.7314048676451234
319,0.8388519874004359,0.6666666666666666,0.9900808841271455,0.6668000657606892
343,0.9286201060670055,0.8421052631578947,0.6524820310049367,0.7174851929206867
349,0.9006700233916026,0.6666666666666666,0.9059269434428083,0.756923263077468
411,0.8584597411619783,0.4117647058823529,0.6486268293328136,0.6894045950371007
424,0.7276068322563513,0.72,0.8427972529469054,0.5656459788095881
442,1.115970426091486,0.625,0.7304593406771767,0.9556733763974355
528,1.0406354683918866,0.5,0.8960556614094165,0.7217076821680726
624,1.0077221604053532,0.7058823529411765,0.8165562374444371,0.8698102681733731
691,0.954481834125883,0.8936170212765957,0.7999999999999999,0.7396299643498634
692,0.36769599400634445,0.9473684210526315,1.0,0.2820828582424161
737,1.1471726476959754,0.7213114754098361,0.802699557729491,0.8368924741218817
749,1.1231367480496985,0.8,0.7582006972678507,0.9237420259583797
753,0.8436730185381607,0.6933333333333334,0.8553146470008143,0.7087230397245887
791,0.82851334448076,0.7142857142857143,0.8725222292240155,0.5853889828039511
839,0.7746536316183688,0.5714285714285714,1.0,0.6879781638777664
840,0.5647620994229513,1.0,0.9616503052427172,0.47972068491611586
937,0.9149793645466328,0.75,0.9546901008468323,0.7329865922471603
1010,0.809975779060726,0.0,0.7879476733497187,0.6679009285321218
1019,1.0638923046824371,0.2857142857142857,0.8602055982546508,0.8808930527884705
1051,0.9482363580169172,0.2857142857142857,0.9378709196841988,0.852915962544464
1058,1.05441375717379,0.8,0.9458422743844268,0.7970900229860876
1063,0.8305778261100824,0.8,1.0,0.7559781424206612
1088,0.7446693330118807,0.6417910447761194,0.8465734530514656,0.6010595358759226
1101,0.9698529654060606,0.6486486486486487,0.8016584650898229,0.8084259842518167
1113,0.8340506476193538,0.7058823529411765,0.9690711821665126,0.7437346888655832
1120,0.8648646831310574,0.6666666666666666,0.8602055982546508,0.6720442260611962
1125,0.9645425565532039,0.2222222222222222,0.9450232773040584,0.785483036743534
1141,1.2014172178173055,0.2857142857142857,0.7370948818542036,0.9835386683709135
1142,1.2638341604932777,0.5714285714285714,0.8111328551237902,0.9334462425156973
1164,0.9629375568957474,0.625,0.9200599008664088,0.7882467844888614
1165,1.0911828634491878,0.8235294117647058,0.9022740062695677,0.7777792942212781
1202,1.1790970441150777,0.6197183098591549,0.7667795699274595,0.9071277625808222
1203,1.2211543582873472,0.6666666666666666,0.8490932284645065,0.8079227765377799
1211,1.104333124786865,0.8888888888888888,0.9321679589452766,0.9957258134534943
1265,1.1726388155450125,0.5771144278606966,0.7445453145289903,0.9568670282364503
1274,0.9105600660720877,0.8,0.8212585880032575,0.744254677539324
1291,0.6589495280213704,0.8780487804878049,0.8501155446062272,0.5050303499654256
1306,0.7740190364183709,0.84472049689441,0.9660839794726382,0.6509083105205064
1317,0.6333244652343547,0.7377049180327869,0.8563885250903946,0.4905466035344191
1352,1.1321607708570265,0.42857142857142855,0.5165079829648651,0.9202853443249427
1369,1.1975004074109021,0.5142857142857142,0.8920632835240536,1.0590120459140695
1389,1.128041247189666,0.6666666666666666,0.9109394584850815,1.0214140010859485
1390,0.6026790479785272,0.896,0.8940730565571915,0.4617532406299738
1395,1.404577510824396,0.5333333333333333,0.6216404229486887,1.1201744832259355
1399,0.8433949212044738,0.75,0.8860227901408411,0.6645640972617187
1421,0.8245911426762674,0.5454545454545454,0.8032034749213767,0.6713007076486737
1425,1.0638607719402586,0.5454545454545454,0.8940730565571915,0.8476265323930134
1447,0.9834025309282061,0.6666666666666666,0.9070542210948719,0.712940343505195
1451,1.0139764407772656,0.5714285714285714,0.7845565267923162,0.8027081902245076
1491,0.728454912051804,0.36363636363636365,0.8667809944418157,0.6037294034376521
1505,0.8828283258219589,0.7804878048780488,0.930961731550626,0.7357439024130197
1530,0.7007719711705801,0.6,0.9671987306219144,0.558556906381599
1551,0.993611117671113,0.8470588235294118,0.9445453145289903,0.7831534552398978
1556,0.7882939931939782,0.6666666666666666,0.9255108071950495,0.6060470561202829
1560,1.2070872034700628,0.2857142857142857,0.8417037044593616,0.964059371358108
1579,0.5828241295190767,0.7692307692307693,0.9218373627087064,0.49213763411764083
1593,1.2273556793310454,0.36363636363636365,0.7815125415978279,1.0529661688038203
1597,1.5242720942604864,0.5714285714285714,0.9832843970500206,1.2936421594359135
1624,1.1865092188973503,0.9090909090909091,0.903391847413111,1.0278928888741334
1643,0.7484307030934614,0.9069767441860465,0.9666666666666666,0.5625945129536638
1701,0.7481335719440849,0.7604166666666666,0.7707863300314587,0.5910334862132428
1712,0.9766851957413216,0.608,0.66015703602983,0.804273084325016
1733,0.931657084973956,0.5945945945945946,0.8767132734742671,0.6626356157957374
1748,0.7010369187873678,0.45161290322580644,0.9157579555373605,0.5582966594873391
1780,0.922364092314707,0.0,0.7593424887796972,0.6753329484918619
1837,1.2368150530273063,0.631578947368421,0.8339160205273616,1.0020820545054612
1851,0.6272617850590537,0.0,0.7326079042250372,0.48424335961810944
1865,1.0183247220379148,0.36363636363636365,0.6397944017453491,0.7372157696677214
1897,0.7887702900598202,0.7333333333333333,0.8690382684493738,0.6452407690794472
1912,0.8595815091199546,0.0,0.6324086793035104,0.6930524575550328
1943,0.832534222040118,0.5555555555555556,0.8915999270517144,0.6840959365120786
1958,0.5200310866532576,0.5,0.9397755576526973,0.4279049068727332
